algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/water,water.xbif50001_,2,5,13,95,-0.4804614507097443,-67165.5671126445,7.0,4.0,220.0,7,0
pfhcbes,res/networks/water,water.xbif50001_,2,5,17,97,-0.46976639240002166,-67317.91757588052,7.125,8.0,220.0,6,0
pges,res/networks/water,water.xbif50001_,2,5,17,95,-0.4398561646790701,-67061.2707953357,6.9375,6.0,216.0,7,0
phc,res/networks/water,water.xbif50001_,2,5,17,97,-0.46976639240002166,-67317.91757588052,7.125,8.0,220.0,6,0
pfhcbes,res/networks/water,water.xbif50001_,2,5,19,93,-0.47904525723350927,-67115.84440855584,6.8125,6.0,212.0,6,0
pges,res/networks/water,water.xbif50001_,2,5,19,93,-0.46365608011468723,-67063.25001321745,6.8125,4.0,214.0,7,0
phc,res/networks/water,water.xbif50001_,2,5,19,93,-0.49385844832751125,-67115.84440855584,6.8125,6.0,212.0,7,0
pfhcbes,res/networks/water,water.xbif50001_,2,5,23,101,-0.47584867241013235,-67168.9113643822,7.375,10.0,226.0,6,0
pges,res/networks/water,water.xbif50001_,2,5,23,95,-0.47753155635671657,-67061.27079533572,6.9375,6.0,216.0,6,0
phc,res/networks/water,water.xbif50001_,2,5,23,101,-0.49046831836449684,-67170.57001402932,7.3125,10.0,224.0,6,0
pfhcbes,res/networks/water,water.xbif50001_,2,5,29,99,-0.4695310140522304,-67239.37929111319,7.1875,12.0,218.0,9,0
pges,res/networks/water,water.xbif50001_,2,5,29,101,-0.5128411244446408,-67141.9097277289,7.4375,14.0,224.0,7,0
phc,res/networks/water,water.xbif50001_,2,5,29,99,-0.4890124025087621,-67241.34041415926,7.25,12.0,220.0,8,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,2,101,-0.50489188664794,-67196.0654474097,7.375,10.0,226.0,5,0
pges,res/networks/water,water.xbif50001_,4,5,2,98,-0.4061864914907859,-67125.08541033877,7.1875,8.0,222.0,5,0
phc,res/networks/water,water.xbif50001_,4,5,2,101,-0.4989355159233036,-67122.9570189544,7.375,10.0,226.0,4,0
pfhcbes,res/networks/water,water.xbif50001_,4,5,3,100,-0.45973400358554056,-67136.28040303777,7.3125,10.0,224.0,5,0
pges,res/networks/water,water.xbif50001_,4,5,3,95,-0.46283961112934774,-67145.62976397586,7.0,10.0,214.0,6,0
phc,res/networks/water,water.xbif50001_,4,5,3,100,-0.4597345099576219,-67134.60465975653,7.3125,10.0,224.0,5,0
