algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/child,child.xbif50001_,2,5,13,9,-0.6240167802038586,-64379.009951164306,1.2,14.0,10.0,5,0
pfhcbes,res/networks/child,child.xbif50001_,2,5,17,10,-0.6119498385682614,-64145.85877467421,1.2,14.0,10.0,7,0
pges,res/networks/child,child.xbif50001_,2,5,17,2,-0.5810385701475549,-62656.96605659266,0.2,0.0,4.0,7,0
phc,res/networks/child,child.xbif50001_,2,5,17,13,-0.6022757781395877,-64439.93500717658,1.8,26.0,10.0,6,0
pfhcbes,res/networks/child,child.xbif50001_,2,5,19,10,-0.5665981674387197,-63784.42094341901,1.3,14.0,12.0,6,0
pges,res/networks/child,child.xbif50001_,2,5,19,2,-0.588232086953275,-62656.96605659266,0.2,0.0,4.0,7,0
phc,res/networks/child,child.xbif50001_,2,5,19,11,-0.5809149038004419,-63869.61038066508,1.5,18.0,12.0,5,0
pfhcbes,res/networks/child,child.xbif50001_,2,5,23,7,-0.6151342999179369,-63049.67923729154,1.0,10.0,10.0,7,0
pges,res/networks/child,child.xbif50001_,2,5,23,6,-0.5775850846378716,-63428.135151305214,0.6,4.0,8.0,7,0
phc,res/networks/child,child.xbif50001_,2,5,23,7,-0.6151342999179369,-63049.67923729154,1.0,10.0,10.0,6,0
pfhcbes,res/networks/child,child.xbif50001_,2,5,29,8,-0.6369465241752237,-63262.518816904536,1.2,18.0,6.0,5,0
pges,res/networks/child,child.xbif50001_,2,5,29,5,-0.6534602943214326,-62693.8643140788,0.6,2.0,10.0,7,0
phc,res/networks/child,child.xbif50001_,2,5,29,8,-0.6369465241752237,-63262.518816904536,1.2,18.0,6.0,5,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,2,4,-0.6452862853223085,-63562.074236599015,0.6,8.0,4.0,4,0
pges,res/networks/child,child.xbif50001_,4,5,2,7,-0.6087908301845519,-63158.20859982853,1.0,14.0,6.0,7,0
phc,res/networks/child,child.xbif50001_,4,5,2,4,-0.6452862853223085,-63562.074236599015,0.6,8.0,4.0,4,0
