algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,7,91,-0.4856827128811244,-165744.61523319798,4.257142857142857,6.0,292.0,9,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,5,11,91,-0.4742712176787548,-165780.6265257753,4.285714285714286,8.0,292.0,9,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,5,11,87,-0.47395076328374525,-165634.00746267912,4.057142857142857,4.0,280.0,10,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,11,91,-0.4742712176787548,-165780.6265257753,4.285714285714286,8.0,292.0,9,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,5,13,94,-0.4688534138226888,-165880.51632727814,4.4,10.0,298.0,9,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,5,13,86,-0.48756569406995504,-165614.70015369577,4.0285714285714285,2.0,280.0,9,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,13,94,-0.47057553120314594,-165880.51632727808,4.4,10.0,298.0,9,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,5,17,89,-0.48317505422453266,-165760.04045285517,4.142857142857143,6.0,284.0,10,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,5,17,87,-0.4863721611414772,-165583.46978460482,4.085714285714285,2.0,284.0,10,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,17,93,-0.47856034540396136,-165856.84480390267,4.3428571428571425,10.0,294.0,9,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,5,19,88,-0.4754364625191931,-165669.31833907202,4.114285714285714,2.0,286.0,10,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,5,19,89,-0.48475364748364524,-165608.56406121879,4.142857142857143,4.0,286.0,10,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,19,88,-0.48382677037745603,-165669.31833907202,4.114285714285714,2.0,286.0,10,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,5,23,91,-0.48163005051176616,-165783.125519159,4.2,8.0,286.0,10,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,5,23,89,-0.4846046441272911,-165650.6100319817,4.228571428571429,2.0,294.0,10,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,23,91,-0.48163005051176616,-165783.125519159,4.2,8.0,286.0,10,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,2,5,29,90,-0.4740305993125317,-165789.36690594364,4.171428571428572,8.0,284.0,9,1
pges,res/networks/hepar2,hepar2.xbif50001_,2,5,29,85,-0.4785617203980211,-165584.78190452338,4.0,0.0,280.0,9,2
phc,res/networks/hepar2,hepar2.xbif50001_,2,5,29,90,-0.4740305993125317,-165789.36690594364,4.171428571428572,8.0,284.0,9,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,2,93,-0.47974808374513833,-166050.76521679218,4.257142857142857,8.0,290.0,6,0
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,2,85,-0.47819975612534954,-165676.41116286448,4.0285714285714285,0.0,282.0,8,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,2,94,-0.4876838150259115,-166050.29304419627,4.285714285714286,10.0,290.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,3,92,-0.4780851389037464,-165899.56402427243,4.2,16.0,278.0,7,0
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,3,86,-0.4622078224555473,-165657.9928035384,4.057142857142857,0.0,284.0,8,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,3,92,-0.4780851389037464,-165899.56402427243,4.2,16.0,278.0,7,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,5,94,-0.4660031347469199,-165799.47858032063,4.3428571428571425,10.0,294.0,8,1
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,5,87,-0.49174207819856103,-165629.08162276298,4.057142857142857,2.0,282.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,5,93,-0.4520949317595682,-165845.2664443483,4.285714285714286,14.0,286.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,7,89,-0.48978720668657344,-165687.4072003676,4.114285714285714,6.0,282.0,7,1
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,7,90,-0.46926871459691455,-165658.6260399806,4.2,4.0,290.0,7,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,7,91,-0.4775119396511668,-165718.1412364677,4.2,10.0,284.0,7,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,11,87,-0.4632701361375315,-165632.2734303215,4.057142857142857,0.0,284.0,7,1
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,11,90,-0.45772209231373306,-165685.21540719058,4.257142857142857,4.0,294.0,8,2
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,11,93,-0.4442312416372236,-165772.93398592045,4.371428571428571,14.0,292.0,7,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,13,94,-0.47007203579255463,-165972.70281238694,4.371428571428571,18.0,288.0,6,0
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,13,86,-0.48903253144274045,-165643.10394374526,4.0285714285714285,2.0,280.0,9,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,13,95,-0.47034180366235684,-165980.97681359536,4.4,20.0,288.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,17,89,-0.4808164315263856,-165968.9670694584,4.0,16.0,264.0,6,0
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,17,88,-0.4886436152721556,-165634.49171271265,4.085714285714285,4.0,282.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,17,89,-0.4808164315263856,-165968.9670694584,4.0,16.0,264.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,19,92,-0.4659272192930339,-165929.9681440273,4.371428571428571,14.0,292.0,7,0
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,19,86,-0.49884172507315216,-165614.70015369574,4.0285714285714285,2.0,280.0,7,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,19,92,-0.48200726374449243,-165929.96814402728,4.371428571428571,14.0,292.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,23,91,-0.4780108309578704,-165732.66038106798,4.2,10.0,284.0,9,1
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,23,86,-0.4760178715762304,-165753.12617029765,3.914285714285714,4.0,270.0,8,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,23,92,-0.46565258382999547,-165745.9934723008,4.285714285714286,12.0,288.0,7,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,4,5,29,94,-0.46391299565203264,-165907.5393258557,4.371428571428571,8.0,298.0,6,0
pges,res/networks/hepar2,hepar2.xbif50001_,4,5,29,87,-0.4719839206121095,-165682.82585348753,4.114285714285714,6.0,282.0,7,1
phc,res/networks/hepar2,hepar2.xbif50001_,4,5,29,93,-0.4931839290171301,-165899.5862734483,4.3428571428571425,8.0,296.0,7,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,2,88,-0.48198444887944425,-165862.70405942012,3.9714285714285715,4.0,274.0,6,0
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,2,92,-0.48567275345848854,-165952.90291885808,4.285714285714286,16.0,284.0,6,2
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,2,89,-0.49087404028480364,-165903.8951778564,4.0285714285714285,8.0,274.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,3,91,-0.46583178006122555,-165810.0776780574,4.142857142857143,14.0,276.0,5,0
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,3,91,-0.4867406216050749,-165743.20218308351,4.228571428571429,6.0,290.0,5,1
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,3,94,-0.42986273919827306,-165857.7714056368,4.314285714285714,14.0,288.0,7,1
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,5,97,-0.4670653121353955,-166143.71283417472,4.457142857142857,24.0,288.0,5,0
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,5,100,-0.4695862046206781,-166051.90586148782,4.6571428571428575,24.0,302.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,5,97,-0.4670653121353955,-166143.71283417472,4.457142857142857,24.0,288.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,7,92,-0.48906734411301683,-165880.64721272845,4.228571428571429,18.0,278.0,8,1
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,7,88,-0.45746506904204093,-165743.1536891828,4.114285714285714,6.0,282.0,7,2
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,7,92,-0.4780476316040237,-165880.6472127285,4.228571428571429,18.0,278.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,11,94,-0.46356079019164986,-165819.0818927308,4.4,16.0,292.0,7,1
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,11,88,-0.47636009096692494,-165916.0850676259,4.142857142857143,12.0,278.0,6,2
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,11,94,-0.475822042560194,-165819.08189273078,4.4,16.0,292.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,13,98,-0.47577110286428087,-166028.3714755854,4.6,28.0,294.0,8,1
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,13,89,-0.4699247397401377,-165832.88800020795,4.171428571428572,8.0,284.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,13,98,-0.4989002060303056,-166037.1065811314,4.514285714285714,30.0,286.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,17,91,-0.4814971111772212,-165925.7246855415,4.085714285714285,10.0,276.0,7,1
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,17,90,-0.4677606097313586,-165862.45721242006,4.2,10.0,284.0,6,2
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,17,91,-0.4776221742356226,-165909.18527068355,4.114285714285714,12.0,276.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,19,97,-0.47842524214969767,-165893.89517743647,4.6571428571428575,24.0,302.0,5,0
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,19,89,-0.4856846446959527,-165762.49139238332,4.2,10.0,284.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,19,97,-0.4860961095905792,-165893.89517743647,4.6571428571428575,24.0,302.0,6,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,23,95,-0.4749174941219545,-165861.1810448267,4.457142857142857,14.0,298.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,23,86,-0.47955376223193,-165692.15996409347,4.0285714285714285,2.0,280.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,23,93,-0.48346161847752,-165819.58663893037,4.314285714285714,12.0,290.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,6,5,29,89,-0.4297072888428942,-165852.71047937192,4.142857142857143,8.0,282.0,6,1
pges,res/networks/hepar2,hepar2.xbif50001_,6,5,29,86,-0.4728325490804382,-165693.55238707102,4.057142857142857,2.0,282.0,6,1
phc,res/networks/hepar2,hepar2.xbif50001_,6,5,29,89,-0.4880208361776864,-165877.76923594487,4.142857142857143,8.0,282.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,2,89,-0.49010047467186685,-165695.4503901045,4.114285714285714,6.0,282.0,7,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,2,86,-0.48775668855842297,-165747.51664581665,4.057142857142857,2.0,282.0,7,1
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,2,89,-0.4633665976815622,-165704.18549565045,4.0285714285714285,8.0,274.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,3,96,-0.47909698162833414,-165894.67067049645,4.542857142857143,16.0,302.0,5,0
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,3,94,-0.4599880191366102,-165816.65383640715,4.428571428571429,18.0,292.0,6,2
phc,res/networks/hepar2,hepar2.xbif50001_,8,5,3,96,-0.4714772375845062,-165878.13125563847,4.571428571428571,18.0,302.0,5,0
pfhcbes,res/networks/hepar2,hepar2.xbif50001_,8,5,5,94,-0.48840849578330786,-165812.3926191342,4.4,14.0,294.0,5,1
pges,res/networks/hepar2,hepar2.xbif50001_,8,5,5,90,-0.4788319718301004,-165937.69155708578,4.142857142857143,14.0,276.0,6,2
