algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
fges,alarm,alarm.xbif50009_,2,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,1.501
fges,alarm,alarm.xbif50009_,4,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.762
fges,alarm,alarm.xbif50009_,8,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.803
fges,alarm,alarm.xbif_,16,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.011
fges,alarm,alarm.xbif_,1,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.34
fges,alarm,alarm.xbif_,2,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.127
fges,alarm,alarm.xbif_,4,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.086
fges,alarm,alarm.xbif_,8,0,0,-1,10,-0.28190824997835057,-54074.96493375085,22.0,6.0,16.0,1,1.029
fges-faithfulness,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.956
fges-faithfulness,alarm,alarm.xbif50001246_,1,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.066
fges-faithfulness,alarm,alarm.xbif50001246_,2,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.971
fges-faithfulness,alarm,alarm.xbif50001246_,4,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.978
fges-faithfulness,alarm,alarm.xbif50001246_,8,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,0.987
fges-faithfulness,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.436
fges-faithfulness,alarm,alarm.xbif50001_,1,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,2.289
fges-faithfulness,alarm,alarm.xbif50001_,2,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.696
fges-faithfulness,alarm,alarm.xbif50001_,4,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.441
fges-faithfulness,alarm,alarm.xbif50001_,8,0,0,-1,7,-0.2814405426843483,-53530.062035930845,14.0,0.0,14.0,1,1.504
fges-faithfulness,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.46
fges-faithfulness,alarm,alarm.xbif50002_,1,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,2.067
fges-faithfulness,alarm,alarm.xbif50002_,2,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.736
fges-faithfulness,alarm,alarm.xbif50002_,4,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,3.69
fges-faithfulness,alarm,alarm.xbif50002_,8,0,0,-1,8,-0.28181102538665115,-53755.87016052619,16.0,2.0,14.0,1,1.485
fges-faithfulness,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.039
fges-faithfulness,alarm,alarm.xbif50003_,1,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.76
fges-faithfulness,alarm,alarm.xbif50003_,2,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.348
fges-faithfulness,alarm,alarm.xbif50003_,4,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,2.588
fges-faithfulness,alarm,alarm.xbif50003_,8,0,0,-1,7,-0.28135323001253204,-53485.56894634209,14.0,0.0,14.0,1,1.141
fges-faithfulness,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,0.86
fges-faithfulness,alarm,alarm.xbif50004_,1,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,1.371
fges-faithfulness,alarm,alarm.xbif50004_,2,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,0.996
fges-faithfulness,alarm,alarm.xbif50004_,4,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,2.38
fges-faithfulness,alarm,alarm.xbif50004_,8,0,0,-1,7,-0.28135323001253204,-53778.532213361286,14.0,0.0,14.0,1,0.849
fges-faithfulness,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.192
fges-faithfulness,alarm,alarm.xbif50005_,1,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.952
fges-faithfulness,alarm,alarm.xbif50005_,2,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.443
fges-faithfulness,alarm,alarm.xbif50005_,4,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,3.045
fges-faithfulness,alarm,alarm.xbif50005_,8,0,0,-1,10,-0.2814534709826712,-54619.87018166658,24.0,8.0,16.0,1,1.169
fges-faithfulness,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.279
fges-faithfulness,alarm,alarm.xbif50006_,1,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,2.085
fges-faithfulness,alarm,alarm.xbif50006_,2,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.793
fges-faithfulness,alarm,alarm.xbif50006_,4,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,3.332
fges-faithfulness,alarm,alarm.xbif50006_,8,0,0,-1,9,-0.2818495650411003,-53810.65284636689,18.0,2.0,16.0,1,1.257
fges-faithfulness,alarm,alarm.xbif50007_,16,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.146
fges-faithfulness,alarm,alarm.xbif50007_,1,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.206
fges-faithfulness,alarm,alarm.xbif50007_,2,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.232
fges-faithfulness,alarm,alarm.xbif50007_,4,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.088
fges-faithfulness,alarm,alarm.xbif50007_,8,0,0,-1,7,-0.28135323001253204,-53649.90710812798,14.0,0.0,14.0,1,1.141
fges-faithfulness,alarm,alarm.xbif50008_,16,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,0.912
fges-faithfulness,alarm,alarm.xbif50008_,1,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,1.565
fges-faithfulness,alarm,alarm.xbif50008_,2,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,1.147
fges-faithfulness,alarm,alarm.xbif50008_,4,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,1.014
fges-faithfulness,alarm,alarm.xbif50008_,8,0,0,-1,7,-0.28143777349946686,-54211.83652719084,14.0,0.0,14.0,1,0.95
fges-faithfulness,alarm,alarm.xbif50009_,16,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.916
fges-faithfulness,alarm,alarm.xbif50009_,1,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,1.341
fges-faithfulness,alarm,alarm.xbif50009_,2,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,1.001
fges-faithfulness,alarm,alarm.xbif50009_,4,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.961
fges-faithfulness,alarm,alarm.xbif50009_,8,0,0,-1,8,-0.28181102538665115,-54374.11719194646,16.0,2.0,14.0,1,0.91
