algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMB,deltaMB+,deltaMB-,iterations,time(s)
pges-jc,child,child.xbif50005_,16,16,10,-1,0,-0.7036161658523716,-62106.99043147799,0.0,0.0,0.0,100,5.108
pges-jc,child,child.xbif50005_,16,16,15,-1,0,-0.7036161658523714,-62106.99043147799,0.0,0.0,0.0,100,4.971
pges-jc,child,child.xbif50005_,16,16,5,-1,0,-0.7036227667080996,-62106.99043147799,0.0,0.0,0.0,100,3.646
pges-jc,child,child.xbif50005_,2,2,10,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,100,15.794
pges-jc,child,child.xbif50005_,2,2,15,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,100,15.5
pges-jc,child,child.xbif50005_,2,2,5,-1,0,-0.7544118679775818,-62106.99043147799,0.0,0.0,0.0,100,15.871
pges-jc,child,child.xbif50005_,4,4,10,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,100,3.218
pges-jc,child,child.xbif50005_,4,4,15,-1,0,-0.7191622389724504,-62106.99043147799,0.0,0.0,0.0,100,3.203
pges-jc,child,child.xbif50005_,4,4,5,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,100,1.646
pges-jc,child,child.xbif50005_,8,8,10,-1,0,-0.7191622389724504,-62106.99043147799,0.0,0.0,0.0,100,2.666
pges-jc,child,child.xbif50005_,8,8,15,-1,0,-0.7191622389724504,-62106.99043147799,0.0,0.0,0.0,100,2.747
pges-jc,child,child.xbif50005_,8,8,5,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,100,2.805
pges-jc,child,child.xbif50006_,16,16,10,-1,0,-0.7036227667080996,-62334.07230844594,0.0,0.0,0.0,100,3.93
pges-jc,child,child.xbif50006_,16,16,15,-1,0,-0.7036227667080996,-62334.07230844594,0.0,0.0,0.0,100,3.429
pges-jc,child,child.xbif50006_,16,16,5,-1,0,-0.7036227667080996,-62334.07230844594,0.0,0.0,0.0,100,3.393
pges-jc,child,child.xbif50006_,2,2,10,-1,0,-0.7585589334571001,-62334.07230844594,0.0,0.0,0.0,100,15.742
pges-jc,child,child.xbif50006_,2,2,15,-1,0,-0.7585589334571001,-62334.07230844594,0.0,0.0,0.0,100,12.769
pges-jc,child,child.xbif50006_,2,2,5,-1,0,-0.7544118679775818,-62334.07230844594,0.0,0.0,0.0,100,15.782
pges-jc,child,child.xbif50006_,4,4,10,-1,0,-0.7585589334571001,-62334.07230844594,0.0,0.0,0.0,100,2.246
pges-jc,child,child.xbif50006_,4,4,15,-1,0,-0.7191622389724504,-62334.07230844594,0.0,0.0,0.0,100,1.817
pges-jc,child,child.xbif50006_,4,4,5,-1,0,-0.7544118679775818,-62334.07230844594,0.0,0.0,0.0,100,3.168
pges-jc,child,child.xbif50006_,8,8,10,-1,0,-0.7191622389724504,-62334.07230844594,0.0,0.0,0.0,100,2.681
pges-jc,child,child.xbif50006_,8,8,15,-1,0,-0.7191622389724506,-62334.07230844594,0.0,0.0,0.0,100,2.697
pges-jc,child,child.xbif50006_,8,8,5,-1,0,-0.7544118679775818,-62334.07230844594,0.0,0.0,0.0,100,3.288
pges-jc,child,child.xbif50007_,16,16,10,-1,0,-0.7036227667080996,-62393.39933903459,0.0,0.0,0.0,6,0.983
pges-jc,child,child.xbif50007_,16,16,15,-1,0,-0.7036227667080996,-62393.39933903459,0.0,0.0,0.0,6,0.888
pges-jc,child,child.xbif50007_,16,16,5,-1,0,-0.7036227667080996,-62393.39933903459,0.0,0.0,0.0,6,0.912
pges-jc,child,child.xbif50007_,2,2,10,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,7,11.24
pges-jc,child,child.xbif50007_,2,2,15,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,7,11.415
pges-jc,child,child.xbif50007_,2,2,5,-1,0,-0.7544118679775818,-62393.39933903459,0.0,0.0,0.0,9,11.528
pges-jc,child,child.xbif50007_,4,4,10,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,7,0.608
pges-jc,child,child.xbif50007_,4,4,15,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,7,0.602
pges-jc,child,child.xbif50007_,4,4,5,-1,0,-0.7544118679775818,-62393.39933903459,0.0,0.0,0.0,8,0.627
pges-jc,child,child.xbif50007_,8,8,10,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,7,1.241
pges-jc,child,child.xbif50007_,8,8,15,-1,0,-0.7191622389724504,-62393.39933903459,0.0,0.0,0.0,6,1.252
pges-jc,child,child.xbif50007_,8,8,5,-1,0,-0.7544118679775818,-62393.39933903459,0.0,0.0,0.0,8,1.726
pges-jc,child,child.xbif50008_,16,16,10,-1,0,-0.7036227667080996,-61964.3122337022,0.0,0.0,0.0,6,1.052
pges-jc,child,child.xbif50008_,16,16,15,-1,0,-0.7036227667080996,-61964.3122337022,0.0,0.0,0.0,6,1.053
pges-jc,child,child.xbif50008_,16,16,5,-1,0,-0.7036227667080996,-61964.3122337022,0.0,0.0,0.0,6,0.878
pges-jc,child,child.xbif50008_,2,2,10,-1,0,-0.7585589334571001,-61964.3122337022,0.0,0.0,0.0,7,11.383
pges-jc,child,child.xbif50008_,2,2,15,-1,0,-0.7585589334571001,-61964.3122337022,0.0,0.0,0.0,7,14.564
pges-jc,child,child.xbif50008_,2,2,5,-1,0,-0.7544118679775818,-61964.3122337022,0.0,0.0,0.0,9,11.617
pges-jc,child,child.xbif50008_,4,4,10,-1,0,-0.7585589334571001,-61964.3122337022,0.0,0.0,0.0,7,0.609
pges-jc,child,child.xbif50008_,4,4,15,-1,0,-0.7191622389724504,-61964.3122337022,0.0,0.0,0.0,7,0.698
pges-jc,child,child.xbif50008_,4,4,5,-1,0,-0.7544118679775818,-61964.3122337022,0.0,0.0,0.0,8,0.657
pges-jc,child,child.xbif50008_,8,8,10,-1,0,-0.7585589334571001,-61964.3122337022,0.0,0.0,0.0,7,0.894
pges-jc,child,child.xbif50008_,8,8,15,-1,0,-0.7191622389724504,-61964.3122337022,0.0,0.0,0.0,6,0.955
pges-jc,child,child.xbif50008_,8,8,5,-1,0,-0.7544118679775818,-61964.3122337022,0.0,0.0,0.0,8,0.919
pges-jc,child,child.xbif50009_,16,16,10,-1,0,-0.7036227667080996,-62549.39502463251,0.0,0.0,0.0,5,0.802
pges-jc,child,child.xbif50009_,16,16,15,-1,0,-0.7036227667080996,-62549.39502463251,0.0,0.0,0.0,5,0.829
pges-jc,child,child.xbif50009_,16,16,5,-1,0,-0.7036227667080996,-62549.39502463251,0.0,0.0,0.0,5,0.821
pges-jc,child,child.xbif50009_,2,2,10,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,6,14.631
pges-jc,child,child.xbif50009_,2,2,15,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,6,14.437
pges-jc,child,child.xbif50009_,2,2,5,-1,0,-0.7544118679775818,-62549.39502463251,0.0,0.0,0.0,8,14.584
pges-jc,child,child.xbif50009_,4,4,10,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,6,1.031
pges-jc,child,child.xbif50009_,4,4,15,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,6,0.989
pges-jc,child,child.xbif50009_,4,4,5,-1,0,-0.7544118679775818,-62549.39502463251,0.0,0.0,0.0,7,0.621
pges-jc,child,child.xbif50009_,8,8,10,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,6,0.821
pges-jc,child,child.xbif50009_,8,8,15,-1,0,-0.7191622389724504,-62549.39502463251,0.0,0.0,0.0,5,0.943
pges-jc,child,child.xbif50009_,8,8,5,-1,0,-0.7544118679775818,-62549.39502463251,0.0,0.0,0.0,7,0.836
pges-jc,child,child.xbif_,16,16,10,-1,3,-0.7035935934884476,-61807.01015635496,6.0,2.0,4.0,100,3.312
pges-jc,child,child.xbif_,16,16,15,-1,3,-0.7035935934884476,-61807.01015635496,6.0,2.0,4.0,100,4.138
pges-jc,child,child.xbif_,16,16,5,-1,0,-0.7036227667080996,-61725.54840141107,0.0,0.0,0.0,100,3.961
pges-jc,child,child.xbif_,2,2,10,-1,3,-0.7585772020706227,-61807.01015635496,6.0,2.0,4.0,100,19.606
pges-jc,child,child.xbif_,2,2,15,-1,3,-0.7585772020706227,-61807.01015635496,6.0,2.0,4.0,100,13.605
pges-jc,child,child.xbif_,2,2,5,-1,3,-0.7544143068575088,-61807.01015635496,6.0,2.0,4.0,100,19.926
pges-jc,child,child.xbif_,4,4,10,-1,3,-0.7585772020706227,-61807.01015635496,6.0,2.0,4.0,100,3.182
pges-jc,child,child.xbif_,4,4,15,-1,3,-0.7191330657527985,-61807.01015635496,6.0,2.0,4.0,100,2.378
pges-jc,child,child.xbif_,4,4,5,-1,3,-0.7544143068575088,-61807.01015635496,6.0,2.0,4.0,100,2.696
pges-jc,child,child.xbif_,8,8,10,-1,3,-0.7585772020706227,-61807.01015635496,6.0,2.0,4.0,100,2.723
pges-jc,child,child.xbif_,8,8,15,-1,3,-0.7191330657527985,-61807.01015635496,6.0,2.0,4.0,100,3.138
pges-jc,child,child.xbif_,8,8,5,-1,3,-0.7544143068575088,-61807.01015635496,6.0,2.0,4.0,100,3.101
pges-jc,earthquake,earthquake.xbif50001246_,2,2,10,-1,0,-0.0873311413127423,-2345.6100008629737,0.0,0.0,0.0,2,12.51
pges-jc,earthquake,earthquake.xbif50001246_,2,2,15,-1,0,-0.0873311413127423,-2345.6100008629737,0.0,0.0,0.0,2,12.559
pges-jc,earthquake,earthquake.xbif50001246_,2,2,5,-1,0,-0.0873311413127423,-2345.6100008629737,0.0,0.0,0.0,2,12.232
pges-jc,earthquake,earthquake.xbif50001246_,4,4,10,-1,0,-0.0887391925942801,-2345.6100008629737,0.0,0.0,0.0,2,0.283
pges-jc,earthquake,earthquake.xbif50001246_,4,4,15,-1,0,-0.0887391925942801,-2345.6100008629737,0.0,0.0,0.0,2,0.291
pges-jc,earthquake,earthquake.xbif50001246_,4,4,5,-1,0,-0.0887391925942801,-2345.6100008629737,0.0,0.0,0.0,2,0.279
pges-jc,earthquake,earthquake.xbif50001_,2,2,10,-1,0,-0.0873311413127423,-2236.8610612068424,0.0,0.0,0.0,2,10.727
pges-jc,earthquake,earthquake.xbif50001_,2,2,15,-1,0,-0.0873311413127423,-2236.8610612068424,0.0,0.0,0.0,2,14.663
pges-jc,earthquake,earthquake.xbif50001_,2,2,5,-1,0,-0.0873311413127423,-2236.8610612068424,0.0,0.0,0.0,2,10.148
pges-jc,earthquake,earthquake.xbif50001_,4,4,10,-1,0,-0.0887391925942801,-2236.8610612068424,0.0,0.0,0.0,2,0.294
pges-jc,earthquake,earthquake.xbif50001_,4,4,15,-1,0,-0.0887391925942801,-2236.8610612068424,0.0,0.0,0.0,2,0.261
pges-jc,earthquake,earthquake.xbif50001_,4,4,5,-1,0,-0.0887391925942801,-2236.8610612068424,0.0,0.0,0.0,2,0.217
pges-jc,earthquake,earthquake.xbif50002_,2,2,10,-1,0,-0.0873311413127423,-2253.264883474652,0.0,0.0,0.0,2,14.192
pges-jc,earthquake,earthquake.xbif50002_,2,2,15,-1,0,-0.0873311413127423,-2253.264883474652,0.0,0.0,0.0,2,14.462
pges-jc,earthquake,earthquake.xbif50002_,2,2,5,-1,0,-0.0873311413127423,-2253.264883474652,0.0,0.0,0.0,2,14.614
pges-jc,earthquake,earthquake.xbif50002_,4,4,10,-1,0,-0.0887391925942801,-2253.264883474652,0.0,0.0,0.0,2,0.234
pges-jc,earthquake,earthquake.xbif50002_,4,4,15,-1,0,-0.0887391925942801,-2253.264883474652,0.0,0.0,0.0,2,0.217
pges-jc,earthquake,earthquake.xbif50002_,4,4,5,-1,0,-0.0887391925942801,-2253.264883474652,0.0,0.0,0.0,2,0.247
pges-jc,earthquake,earthquake.xbif50003_,2,2,10,-1,0,-0.0873311413127423,-2248.1283443594384,0.0,0.0,0.0,2,14.231
pges-jc,earthquake,earthquake.xbif50003_,2,2,15,-1,0,-0.0873311413127423,-2248.1283443594384,0.0,0.0,0.0,2,10.685
pges-jc,earthquake,earthquake.xbif50003_,2,2,5,-1,0,-0.0873311413127423,-2248.1283443594384,0.0,0.0,0.0,2,14.343
pges-jc,earthquake,earthquake.xbif50003_,4,4,10,-1,0,-0.0887391925942801,-2248.1283443594384,0.0,0.0,0.0,2,0.239
pges-jc,earthquake,earthquake.xbif50003_,4,4,15,-1,0,-0.0887391925942801,-2248.1283443594384,0.0,0.0,0.0,2,0.222
pges-jc,earthquake,earthquake.xbif50003_,4,4,5,-1,0,-0.0887391925942801,-2248.1283443594384,0.0,0.0,0.0,2,0.226
pges-jc,earthquake,earthquake.xbif50004_,2,2,10,-1,0,-0.0873311413127423,-2306.881536683167,0.0,0.0,0.0,2,10.808
pges-jc,earthquake,earthquake.xbif50004_,2,2,15,-1,0,-0.0873311413127423,-2306.881536683167,0.0,0.0,0.0,2,10.75
pges-jc,earthquake,earthquake.xbif50004_,2,2,5,-1,0,-0.0873311413127423,-2306.881536683167,0.0,0.0,0.0,2,10.852
pges-jc,earthquake,earthquake.xbif50004_,4,4,10,-1,0,-0.0887391925942801,-2306.881536683167,0.0,0.0,0.0,2,0.265
pges-jc,earthquake,earthquake.xbif50004_,4,4,15,-1,0,-0.0887391925942801,-2306.881536683167,0.0,0.0,0.0,2,0.264
pges-jc,earthquake,earthquake.xbif50004_,4,4,5,-1,0,-0.0887391925942801,-2306.881536683167,0.0,0.0,0.0,2,0.262
pges-jc,earthquake,earthquake.xbif50005_,2,2,10,-1,0,-0.0873311413127423,-2272.8191823027114,0.0,0.0,0.0,2,10.895
pges-jc,earthquake,earthquake.xbif50005_,2,2,15,-1,0,-0.0873311413127423,-2272.8191823027114,0.0,0.0,0.0,2,10.992
pges-jc,earthquake,earthquake.xbif50005_,2,2,5,-1,0,-0.0873311413127423,-2272.8191823027114,0.0,0.0,0.0,2,10.782
pges-jc,earthquake,earthquake.xbif50005_,4,4,10,-1,0,-0.0887391925942801,-2272.8191823027114,0.0,0.0,0.0,2,0.21
pges-jc,earthquake,earthquake.xbif50005_,4,4,15,-1,0,-0.0887391925942801,-2272.8191823027114,0.0,0.0,0.0,2,0.226
pges-jc,earthquake,earthquake.xbif50005_,4,4,5,-1,0,-0.0887391925942801,-2272.8191823027114,0.0,0.0,0.0,2,0.226
pges-jc,earthquake,earthquake.xbif50006_,2,2,10,-1,0,-0.0873311413127423,-2389.0798675177184,0.0,0.0,0.0,2,11.14
pges-jc,earthquake,earthquake.xbif50006_,2,2,15,-1,0,-0.0873311413127423,-2389.0798675177184,0.0,0.0,0.0,2,11.1
pges-jc,earthquake,earthquake.xbif50006_,2,2,5,-1,0,-0.0873311413127423,-2389.0798675177184,0.0,0.0,0.0,2,11.064
pges-jc,earthquake,earthquake.xbif50006_,4,4,10,-1,0,-0.0887391925942801,-2389.0798675177184,0.0,0.0,0.0,2,0.232
pges-jc,earthquake,earthquake.xbif50006_,4,4,15,-1,0,-0.0887391925942801,-2389.0798675177184,0.0,0.0,0.0,2,0.251
pges-jc,earthquake,earthquake.xbif50006_,4,4,5,-1,0,-0.0887391925942801,-2389.0798675177184,0.0,0.0,0.0,2,0.217
pges-jc,earthquake,earthquake.xbif50007_,2,2,10,-1,0,-0.0873311413127423,-2603.7144519249823,0.0,0.0,0.0,2,11.609
pges-jc,earthquake,earthquake.xbif50007_,2,2,15,-1,0,-0.0873311413127423,-2603.7144519249823,0.0,0.0,0.0,2,12.475
pges-jc,earthquake,earthquake.xbif50007_,2,2,5,-1,0,-0.0873311413127423,-2603.7144519249823,0.0,0.0,0.0,2,11.469
pges-jc,earthquake,earthquake.xbif50007_,4,4,10,-1,0,-0.0887391925942801,-2603.7144519249823,0.0,0.0,0.0,2,0.24
pges-jc,earthquake,earthquake.xbif50007_,4,4,15,-1,0,-0.0887391925942801,-2603.7144519249823,0.0,0.0,0.0,2,0.224
pges-jc,earthquake,earthquake.xbif50007_,4,4,5,-1,0,-0.0887391925942801,-2603.7144519249823,0.0,0.0,0.0,2,0.244
pges-jc,earthquake,earthquake.xbif50008_,2,2,10,-1,0,-0.0873311413127423,-2366.720284843115,0.0,0.0,0.0,2,12.553
pges-jc,earthquake,earthquake.xbif50008_,2,2,15,-1,0,-0.0873311413127423,-2366.720284843115,0.0,0.0,0.0,2,12.693
pges-jc,earthquake,earthquake.xbif50008_,2,2,5,-1,0,-0.0873311413127423,-2366.720284843115,0.0,0.0,0.0,2,12.655
pges-jc,earthquake,earthquake.xbif50008_,4,4,10,-1,0,-0.0887391925942801,-2366.7202848431148,0.0,0.0,0.0,2,0.202
pges-jc,earthquake,earthquake.xbif50008_,4,4,15,-1,0,-0.0887391925942801,-2366.7202848431148,0.0,0.0,0.0,2,0.233
pges-jc,earthquake,earthquake.xbif50008_,4,4,5,-1,0,-0.0887391925942801,-2366.7202848431148,0.0,0.0,0.0,2,0.233
pges-jc,earthquake,earthquake.xbif50009_,2,2,10,-1,0,-0.0873311413127423,-2277.7738417684845,0.0,0.0,0.0,2,12.584
pges-jc,earthquake,earthquake.xbif50009_,2,2,15,-1,0,-0.0873311413127423,-2277.7738417684845,0.0,0.0,0.0,2,12.622
pges-jc,earthquake,earthquake.xbif50009_,2,2,5,-1,0,-0.0873311413127423,-2277.7738417684845,0.0,0.0,0.0,2,12.615
pges-jc,earthquake,earthquake.xbif50009_,4,4,10,-1,0,-0.0887391925942801,-2277.7738417684845,0.0,0.0,0.0,2,0.239
pges-jc,earthquake,earthquake.xbif50009_,4,4,15,-1,0,-0.0887391925942801,-2277.7738417684845,0.0,0.0,0.0,2,0.293
pges-jc,earthquake,earthquake.xbif50009_,4,4,5,-1,0,-0.0887391925942801,-2277.7738417684845,0.0,0.0,0.0,2,0.245
pges-jc,earthquake,earthquake.xbif_,2,2,10,-1,0,-0.0873311413127423,-2198.5956008955727,0.0,0.0,0.0,2,10.59
pges-jc,earthquake,earthquake.xbif_,2,2,15,-1,0,-0.0873311413127423,-2198.5956008955727,0.0,0.0,0.0,2,10.434
pges-jc,earthquake,earthquake.xbif_,2,2,5,-1,0,-0.0873311413127423,-2198.5956008955727,0.0,0.0,0.0,2,10.665
pges-jc,earthquake,earthquake.xbif_,4,4,10,-1,0,-0.0887391925942801,-2198.5956008955727,0.0,0.0,0.0,2,0.22
pges-jc,earthquake,earthquake.xbif_,4,4,15,-1,0,-0.0887391925942801,-2198.5956008955727,0.0,0.0,0.0,2,0.252
pges-jc,earthquake,earthquake.xbif_,4,4,5,-1,0,-0.0887391925942801,-2198.5956008955727,0.0,0.0,0.0,2,0.235
pges-jc,hailfinder,hailfinder.xbif50001246_,16,16,10,-1,40,-1.1055187197788392,-251926.1550195333,80.0,20.0,60.0,3,2.044
pges-jc,hailfinder,hailfinder.xbif50001246_,16,16,15,-1,40,-1.0927404845745203,-251926.1550195333,80.0,20.0,60.0,3,2.195
pges-jc,hailfinder,hailfinder.xbif50001246_,16,16,5,-1,46,-1.1061027613997678,-252021.97473498413,92.0,26.0,66.0,5,2.284
pges-jc,hailfinder,hailfinder.xbif50001246_,2,2,10,-1,36,-1.1003716497625637,-251926.6253706979,72.0,16.0,56.0,6,12.021
pges-jc,hailfinder,hailfinder.xbif50001246_,2,2,15,-1,40,-1.103408031552062,-251926.1550195333,80.0,20.0,60.0,5,6.907
pges-jc,hailfinder,hailfinder.xbif50001246_,2,2,5,-1,32,-1.0973606447653328,-251927.51816900034,64.0,12.0,52.0,10,12.486
pges-jc,hailfinder,hailfinder.xbif50001246_,4,4,10,-1,40,-1.103408031552062,-251926.1550195333,80.0,20.0,60.0,5,1.635
pges-jc,hailfinder,hailfinder.xbif50001246_,4,4,15,-1,37,-1.0886371759652005,-251961.09594240205,74.0,18.0,56.0,100,8.263
pges-jc,hailfinder,hailfinder.xbif50001246_,4,4,5,-1,40,-1.103408031552062,-251926.1550195333,80.0,20.0,60.0,8,1.761
pges-jc,hailfinder,hailfinder.xbif50001246_,8,8,10,-1,40,-1.103408031552062,-251926.1550195333,80.0,20.0,60.0,4,1.882
pges-jc,hailfinder,hailfinder.xbif50001246_,8,8,15,-1,40,-1.1055187197788392,-251926.1550195333,80.0,20.0,60.0,3,1.732
pges-jc,hailfinder,hailfinder.xbif50001246_,8,8,5,-1,40,-1.103408031552062,-251926.1550195333,80.0,20.0,60.0,6,2.092
pges-jc,hailfinder,hailfinder.xbif50001_,16,16,10,-1,34,-1.0837586704759476,-252130.49325780585,68.0,14.0,54.0,100,14.122
pges-jc,hailfinder,hailfinder.xbif50001_,16,16,15,-1,36,-1.0806546195930213,-252139.02309463397,72.0,16.0,56.0,100,14.022
pges-jc,hailfinder,hailfinder.xbif50001_,16,16,5,-1,36,-1.0842514470162141,-252139.02309463397,72.0,16.0,56.0,100,14.578
pges-jc,hailfinder,hailfinder.xbif50001_,2,2,10,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,100,15.35
pges-jc,hailfinder,hailfinder.xbif50001_,2,2,15,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,100,15.386
pges-jc,hailfinder,hailfinder.xbif50001_,2,2,5,-1,30,-1.1056029447365308,-252195.9783498811,60.0,8.0,52.0,100,15.561
pges-jc,hailfinder,hailfinder.xbif50001_,4,4,10,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,100,8.026
pges-jc,hailfinder,hailfinder.xbif50001_,4,4,15,-1,36,-1.0756098034416952,-252139.02309463397,72.0,16.0,56.0,100,8.5
pges-jc,hailfinder,hailfinder.xbif50001_,4,4,5,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,100,6.452
pges-jc,hailfinder,hailfinder.xbif50001_,8,8,10,-1,30,-1.1131237022953824,-252145.54635450913,60.0,8.0,52.0,100,9.536
pges-jc,hailfinder,hailfinder.xbif50001_,8,8,15,-1,30,-1.1044820587208635,-252145.54635450913,60.0,8.0,52.0,100,9.271
pges-jc,hailfinder,hailfinder.xbif50001_,8,8,5,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,100,9.083
pges-jc,hailfinder,hailfinder.xbif50002_,16,16,10,-1,38,-1.0969542395083163,-252102.67781138775,76.0,18.0,58.0,3,1.868
pges-jc,hailfinder,hailfinder.xbif50002_,16,16,15,-1,38,-1.1048459976842402,-252102.67781138775,76.0,18.0,58.0,4,2.15
pges-jc,hailfinder,hailfinder.xbif50002_,16,16,5,-1,38,-1.1050880238142031,-252102.67781138775,76.0,18.0,58.0,6,2.16
pges-jc,hailfinder,hailfinder.xbif50002_,2,2,10,-1,36,-1.1167460181714584,-252328.0938400263,72.0,16.0,56.0,7,10.573
pges-jc,hailfinder,hailfinder.xbif50002_,2,2,15,-1,36,-1.1167460181714584,-252328.0938400263,72.0,16.0,56.0,6,10.72
pges-jc,hailfinder,hailfinder.xbif50002_,2,2,5,-1,38,-1.1105627945323229,-252168.39483578224,76.0,18.0,58.0,10,11.259
pges-jc,hailfinder,hailfinder.xbif50002_,4,4,10,-1,38,-1.1050880238142031,-252102.67781138775,76.0,18.0,58.0,5,1.425
pges-jc,hailfinder,hailfinder.xbif50002_,4,4,15,-1,42,-1.1157220095241585,-252166.50170655875,84.0,22.0,62.0,4,1.313
pges-jc,hailfinder,hailfinder.xbif50002_,4,4,5,-1,42,-1.1135737995295534,-252166.50170655875,84.0,22.0,62.0,8,2.236
pges-jc,hailfinder,hailfinder.xbif50002_,8,8,10,-1,38,-1.0969542395083163,-252102.67781138775,76.0,18.0,58.0,4,2.022
pges-jc,hailfinder,hailfinder.xbif50002_,8,8,15,-1,38,-1.0972352966675765,-252102.67781138775,76.0,18.0,58.0,3,2.415
pges-jc,hailfinder,hailfinder.xbif50002_,8,8,5,-1,38,-1.1050880238142031,-252102.67781138775,76.0,18.0,58.0,6,2.089
pges-jc,hailfinder,hailfinder.xbif50003_,16,16,10,-1,37,-1.105291818296175,-251854.1693433584,76.0,18.0,58.0,3,2.221
pges-jc,hailfinder,hailfinder.xbif50003_,16,16,15,-1,37,-1.1052769021675337,-251854.1693433584,76.0,18.0,58.0,3,1.8
pges-jc,hailfinder,hailfinder.xbif50003_,16,16,5,-1,41,-1.0869305448416686,-251867.32608187228,84.0,22.0,62.0,6,2.306
pges-jc,hailfinder,hailfinder.xbif50003_,2,2,10,-1,37,-1.1031557842468924,-251854.1693433584,76.0,18.0,58.0,6,10.509
pges-jc,hailfinder,hailfinder.xbif50003_,2,2,15,-1,35,-1.1001500077762718,-251854.47252521882,72.0,16.0,56.0,5,10.382
pges-jc,hailfinder,hailfinder.xbif50003_,2,2,5,-1,38,-1.0813749452836894,-252072.97784522187,78.0,18.0,60.0,11,10.718
pges-jc,hailfinder,hailfinder.xbif50003_,4,4,10,-1,35,-1.1001500077762718,-251854.47252521882,72.0,16.0,56.0,5,1.505
pges-jc,hailfinder,hailfinder.xbif50003_,4,4,15,-1,37,-1.1091409296255461,-251906.00952513644,76.0,18.0,58.0,4,1.404
pges-jc,hailfinder,hailfinder.xbif50003_,4,4,5,-1,37,-1.0973587818504809,-251906.00952513644,76.0,18.0,58.0,8,1.575
pges-jc,hailfinder,hailfinder.xbif50003_,8,8,10,-1,39,-1.12188437580553,-251891.75874427133,80.0,16.0,64.0,100,8.909
pges-jc,hailfinder,hailfinder.xbif50003_,8,8,15,-1,37,-1.105291818296175,-251854.1693433584,76.0,18.0,58.0,3,1.646
pges-jc,hailfinder,hailfinder.xbif50003_,8,8,5,-1,37,-1.1031557842468924,-251854.1693433584,76.0,18.0,58.0,6,2.265
pges-jc,hailfinder,hailfinder.xbif50004_,16,16,10,-1,34,-1.0969781167804251,-252529.786297389,68.0,14.0,54.0,3,1.925
pges-jc,hailfinder,hailfinder.xbif50004_,16,16,15,-1,34,-1.1092256312216622,-252529.786297389,68.0,14.0,54.0,3,1.905
pges-jc,hailfinder,hailfinder.xbif50004_,16,16,5,-1,34,-1.1034003218691941,-252529.786297389,68.0,14.0,54.0,5,2.033
pges-jc,hailfinder,hailfinder.xbif50004_,2,2,10,-1,34,-1.1034003218691941,-252529.786297389,68.0,14.0,54.0,6,10.406
pges-jc,hailfinder,hailfinder.xbif50004_,2,2,15,-1,34,-1.1034003218691941,-252529.786297389,68.0,14.0,54.0,5,13.834
pges-jc,hailfinder,hailfinder.xbif50004_,2,2,5,-1,38,-1.1118860975845444,-252581.94932859292,76.0,18.0,58.0,10,10.825
pges-jc,hailfinder,hailfinder.xbif50004_,4,4,10,-1,34,-1.1034003218691941,-252529.786297389,68.0,14.0,54.0,5,1.629
pges-jc,hailfinder,hailfinder.xbif50004_,4,4,15,-1,34,-1.1055363559184763,-252529.786297389,68.0,14.0,54.0,4,1.471
pges-jc,hailfinder,hailfinder.xbif50004_,4,4,5,-1,38,-1.1040215523284425,-252691.6371603048,76.0,16.0,60.0,8,1.493
pges-jc,hailfinder,hailfinder.xbif50004_,8,8,10,-1,34,-1.1055363559184763,-252529.786297389,68.0,14.0,54.0,4,1.685
pges-jc,hailfinder,hailfinder.xbif50004_,8,8,15,-1,34,-1.0952543616179844,-252529.786297389,68.0,14.0,54.0,3,1.805
pges-jc,hailfinder,hailfinder.xbif50004_,8,8,5,-1,34,-1.1034003218691941,-252529.786297389,68.0,14.0,54.0,6,1.81
pges-jc,hailfinder,hailfinder.xbif50005_,16,16,10,-1,31,-1.0923076417590178,-252244.3988493708,62.0,12.0,50.0,100,18.17
pges-jc,hailfinder,hailfinder.xbif50005_,16,16,15,-1,31,-1.0968567745870337,-252244.3988493708,62.0,12.0,50.0,100,14.084
