algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMB,deltaMB+,deltaMB-,iterations,time(s)
pges-jc,alarm,alarm.xbif50003_,2,2,10,-1,7,-0.43306027741092257,-53485.5689463421,14.0,0.0,14.0,5,13.734
pges-jc,alarm,alarm.xbif50003_,2,2,15,-1,7,-0.42008957799217583,-53485.5689463421,14.0,0.0,14.0,4,13.057
pges-jc,alarm,alarm.xbif50003_,2,2,5,-1,7,-0.4275077211085277,-53500.190738463716,14.0,0.0,14.0,8,13.787
pges-jc,alarm,alarm.xbif50003_,4,4,10,-1,10,-0.4221013160986332,-53606.58404533583,22.0,6.0,16.0,4,1.417
pges-jc,alarm,alarm.xbif50003_,4,4,15,-1,11,-0.4134007670703381,-53523.87041835627,22.0,4.0,18.0,3,1.399
pges-jc,alarm,alarm.xbif50003_,4,4,5,-1,10,-0.43556515767286946,-53606.58404533583,22.0,6.0,16.0,6,1.392
pges-jc,alarm,alarm.xbif50003_,8,8,10,-1,10,-0.4221013160986332,-53606.58404533583,22.0,6.0,16.0,3,1.192
pges-jc,alarm,alarm.xbif50003_,8,8,15,-1,7,-0.4134111409787481,-53485.5689463421,14.0,0.0,14.0,3,1.123
pges-jc,alarm,alarm.xbif50003_,8,8,5,-1,16,-0.4457371534697264,-54000.23964661202,38.0,10.0,28.0,100,5.049
pges-jc,alarm,alarm.xbif50004_,16,16,10,-1,11,-0.4199272063038021,-53796.195695992305,22.0,4.0,18.0,3,1.231
pges-jc,alarm,alarm.xbif50004_,16,16,15,-1,11,-0.43727983569773726,-54098.04323751782,22.0,6.0,16.0,100,6.918
pges-jc,alarm,alarm.xbif50004_,16,16,5,-1,7,-0.43306027741092257,-53778.532213361286,14.0,0.0,14.0,5,1.548
pges-jc,alarm,alarm.xbif50004_,2,2,10,-1,18,-0.42088368259333103,-54229.38843965623,38.0,20.0,18.0,5,13.039
pges-jc,alarm,alarm.xbif50004_,2,2,15,-1,7,-0.42008957799217583,-53778.532213361286,14.0,0.0,14.0,3,13.008
pges-jc,alarm,alarm.xbif50004_,2,2,5,-1,7,-0.43306027741092257,-53778.532213361286,14.0,0.0,14.0,7,13.223
pges-jc,alarm,alarm.xbif50004_,4,4,10,-1,7,-0.42008957799217583,-53778.532213361286,14.0,0.0,14.0,4,1.361
pges-jc,alarm,alarm.xbif50004_,4,4,15,-1,7,-0.42169458372043894,-53778.532213361286,14.0,0.0,14.0,3,1.793
pges-jc,alarm,alarm.xbif50004_,4,4,5,-1,7,-0.43306027741092257,-53778.532213361286,14.0,0.0,14.0,6,1.524
pges-jc,alarm,alarm.xbif50004_,8,8,10,-1,7,-0.42008957799217583,-53778.532213361286,14.0,0.0,14.0,4,1.214
pges-jc,alarm,alarm.xbif50004_,8,8,15,-1,7,-0.4140767528186578,-53778.53221336128,14.0,0.0,14.0,3,0.933
pges-jc,alarm,alarm.xbif50004_,8,8,5,-1,7,-0.43306027741092257,-53778.532213361286,14.0,0.0,14.0,5,1.051
pges-jc,alarm,alarm.xbif50005_,16,16,10,-1,10,-0.4268631727205671,-54639.78675323567,24.0,8.0,16.0,4,1.579
pges-jc,alarm,alarm.xbif50005_,16,16,15,-1,10,-0.4143380052184318,-54639.786753235676,24.0,8.0,16.0,100,10.666
pges-jc,alarm,alarm.xbif50005_,16,16,5,-1,12,-0.44287796051844136,-54565.31511029545,26.0,6.0,20.0,100,9.968
pges-jc,alarm,alarm.xbif50005_,2,2,10,-1,7,-0.43456333716484624,-54488.30568680052,14.0,0.0,14.0,100,15.635
pges-jc,alarm,alarm.xbif50005_,2,2,15,-1,7,-0.4258403585968386,-54519.91525648836,14.0,0.0,14.0,4,17.93
pges-jc,alarm,alarm.xbif50005_,2,2,5,-1,7,-0.42028780229444374,-54535.79315997996,14.0,0.0,14.0,7,13.309
pges-jc,alarm,alarm.xbif50005_,4,4,10,-1,7,-0.40864028572014716,-54530.43420852312,14.0,0.0,14.0,5,1.619
pges-jc,alarm,alarm.xbif50005_,4,4,15,-1,7,-0.40876421644344646,-54519.915256488355,14.0,0.0,14.0,4,1.802
pges-jc,alarm,alarm.xbif50005_,4,4,5,-1,7,-0.43456333716484624,-54488.30568680052,14.0,0.0,14.0,100,4.109
pges-jc,alarm,alarm.xbif50005_,8,8,10,-1,10,-0.42600815720574725,-54639.786753235676,24.0,8.0,16.0,100,5.479
pges-jc,alarm,alarm.xbif50005_,8,8,15,-1,10,-0.44808123655854015,-54639.78675323566,24.0,8.0,16.0,4,1.038
pges-jc,alarm,alarm.xbif50005_,8,8,5,-1,10,-0.43643565685272423,-54639.786753235676,24.0,8.0,16.0,100,5.05
pges-jc,alarm,alarm.xbif50006_,16,16,10,-1,12,-0.4382829239515819,-53926.24873090908,28.0,4.0,24.0,100,7.329
pges-jc,alarm,alarm.xbif50006_,16,16,15,-1,11,-0.4175051867460588,-53818.53476088239,22.0,4.0,18.0,4,1.463
pges-jc,alarm,alarm.xbif50006_,16,16,5,-1,12,-0.4480828520201362,-53926.24873090908,28.0,4.0,24.0,100,10.259
pges-jc,alarm,alarm.xbif50006_,2,2,10,-1,7,-0.43457281581505186,-53801.20419470125,14.0,0.0,14.0,6,16.819
pges-jc,alarm,alarm.xbif50006_,2,2,15,-1,7,-0.4258403585968386,-53848.610614795245,14.0,0.0,14.0,5,17.979
pges-jc,alarm,alarm.xbif50006_,2,2,5,-1,7,-0.4516532838754033,-53801.20419470125,14.0,0.0,14.0,10,18.671
pges-jc,alarm,alarm.xbif50006_,4,4,10,-1,7,-0.42901078086245137,-53812.96035194795,14.0,0.0,14.0,6,1.885
pges-jc,alarm,alarm.xbif50006_,4,4,15,-1,7,-0.42336149631522924,-53801.20419470125,14.0,0.0,14.0,4,1.63
pges-jc,alarm,alarm.xbif50006_,4,4,5,-1,8,-0.4321121894673629,-53861.54038729819,16.0,2.0,14.0,10,1.822
pges-jc,alarm,alarm.xbif50006_,8,8,10,-1,7,-0.4492538119830124,-53812.96035194795,14.0,0.0,14.0,6,1.317
pges-jc,alarm,alarm.xbif50006_,8,8,15,-1,7,-0.44280382810443364,-53801.20419470125,14.0,0.0,14.0,4,1.078
pges-jc,alarm,alarm.xbif50006_,8,8,5,-1,8,-0.4321121894673629,-53861.54038729819,16.0,2.0,14.0,8,1.376
pges-jc,alarm,alarm.xbif50007_,16,16,10,-1,7,-0.4276327075530899,-53649.90710812798,14.0,0.0,14.0,5,1.555
pges-jc,alarm,alarm.xbif50007_,16,16,15,-1,7,-0.39442450654288547,-53649.90710812798,14.0,0.0,14.0,3,1.345
pges-jc,alarm,alarm.xbif50007_,16,16,5,-1,7,-0.43306027741092257,-53649.90710812798,14.0,0.0,14.0,5,1.483
pges-jc,alarm,alarm.xbif50007_,2,2,10,-1,7,-0.4305100645481988,-53649.90710812798,14.0,0.0,14.0,5,18.326
pges-jc,alarm,alarm.xbif50007_,2,2,15,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,4,19.256
pges-jc,alarm,alarm.xbif50007_,2,2,5,-1,7,-0.4501502241214796,-53649.90710812798,14.0,0.0,14.0,9,18.663
pges-jc,alarm,alarm.xbif50007_,4,4,10,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,4,1.658
pges-jc,alarm,alarm.xbif50007_,4,4,15,-1,7,-0.4342757832257806,-53649.90710812798,14.0,0.0,14.0,4,1.453
pges-jc,alarm,alarm.xbif50007_,4,4,5,-1,7,-0.43306027741092257,-53649.90710812798,14.0,0.0,14.0,6,1.891
pges-jc,alarm,alarm.xbif50007_,8,8,10,-1,7,-0.42008957799217583,-53649.90710812798,14.0,0.0,14.0,4,1.04
pges-jc,alarm,alarm.xbif50007_,8,8,15,-1,7,-0.40908503784476996,-53649.90710812798,14.0,0.0,14.0,4,1.356
pges-jc,alarm,alarm.xbif50007_,8,8,5,-1,11,-0.43304990350251255,-53685.07575044631,22.0,4.0,18.0,6,1.173
pges-jc,alarm,alarm.xbif50008_,16,16,10,-1,8,-0.41075519159024204,-54293.52913182975,18.0,4.0,14.0,4,1.43
pges-jc,alarm,alarm.xbif50008_,16,16,15,-1,14,-0.43576191908806744,-54305.94879711993,32.0,6.0,26.0,4,1.303
pges-jc,alarm,alarm.xbif50008_,16,16,5,-1,8,-0.42433559758511397,-54293.52913182975,18.0,4.0,14.0,5,1.534
pges-jc,alarm,alarm.xbif50008_,2,2,10,-1,7,-0.42433729884291493,-54211.83652719083,14.0,0.0,14.0,5,19.134
pges-jc,alarm,alarm.xbif50008_,2,2,15,-1,9,-0.41106853531992593,-54392.87852286402,20.0,6.0,14.0,3,18.892
pges-jc,alarm,alarm.xbif50008_,2,2,5,-1,7,-0.4275077211085277,-54190.362977274075,14.0,0.0,14.0,7,19.411
pges-jc,alarm,alarm.xbif50008_,4,4,10,-1,10,-0.4299287572414802,-54267.28478492948,24.0,2.0,22.0,7,1.874
pges-jc,alarm,alarm.xbif50008_,4,4,15,-1,7,-0.40470996714094953,-54211.83652719083,14.0,0.0,14.0,4,1.702
pges-jc,alarm,alarm.xbif50008_,4,4,5,-1,12,-0.42325712626393025,-54422.348794400736,26.0,10.0,16.0,5,1.746
pges-jc,alarm,alarm.xbif50008_,8,8,10,-1,10,-0.4299287572414802,-54267.28478492948,24.0,2.0,22.0,7,1.553
pges-jc,alarm,alarm.xbif50008_,8,8,15,-1,10,-0.408154983085171,-54224.8730623425,20.0,4.0,16.0,7,1.535
pges-jc,alarm,alarm.xbif50008_,8,8,5,-1,7,-0.42433729884291493,-54211.83652719083,14.0,0.0,14.0,6,1.074
pges-jc,alarm,alarm.xbif50009_,16,16,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,5,1.329
pges-jc,alarm,alarm.xbif50009_,16,16,15,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,6,1.478
pges-jc,alarm,alarm.xbif50009_,16,16,5,-1,10,-0.4379433138559872,-54382.39161529385,24.0,8.0,16.0,7,1.815
pges-jc,alarm,alarm.xbif50009_,2,2,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,6,19.323
pges-jc,alarm,alarm.xbif50009_,2,2,15,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,5,12.568
pges-jc,alarm,alarm.xbif50009_,2,2,5,-1,9,-0.38393816061592423,-54472.495866271885,20.0,6.0,14.0,9,19.46
pges-jc,alarm,alarm.xbif50009_,4,4,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,6,1.361
pges-jc,alarm,alarm.xbif50009_,4,4,15,-1,9,-0.42092084903246507,-54449.1801970628,20.0,6.0,14.0,3,1.111
pges-jc,alarm,alarm.xbif50009_,4,4,5,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,8,1.742
pges-jc,alarm,alarm.xbif50009_,8,8,10,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,7,1.341
pges-jc,alarm,alarm.xbif50009_,8,8,15,-1,9,-0.4253171844134095,-54449.1801970628,20.0,6.0,14.0,3,1.287
pges-jc,alarm,alarm.xbif50009_,8,8,5,-1,9,-0.4132046976141733,-54449.1801970628,20.0,6.0,14.0,8,1.357
pges-jc,alarm,alarm.xbif_,16,16,10,-1,8,-0.38155182574359003,-54082.05112115014,16.0,2.0,14.0,3,1.184
pges-jc,alarm,alarm.xbif_,16,16,15,-1,9,-0.3771090342639871,-54147.7057067948,20.0,6.0,14.0,3,1.417
pges-jc,alarm,alarm.xbif_,16,16,5,-1,11,-0.4377037505883906,-54081.09317537603,24.0,6.0,18.0,5,1.575
pges-jc,alarm,alarm.xbif_,2,2,10,-1,8,-0.4421831895926583,-54099.12936505862,16.0,2.0,14.0,5,1.281
pges-jc,alarm,alarm.xbif_,2,2,15,-1,8,-0.4421831895926583,-54099.12936505862,16.0,2.0,14.0,4,1.297
pges-jc,alarm,alarm.xbif_,2,2,5,-1,8,-0.4202959586120084,-54097.53910933661,16.0,2.0,14.0,7,1.467
pges-jc,alarm,alarm.xbif_,4,4,10,-1,13,-0.4431107902119374,-54220.113120156755,28.0,8.0,20.0,4,1.051
pges-jc,alarm,alarm.xbif_,4,4,15,-1,13,-0.40843397370058526,-54170.54417494487,28.0,10.0,18.0,3,1.065
pges-jc,alarm,alarm.xbif_,4,4,5,-1,8,-0.42584851491440323,-54082.05112115015,16.0,2.0,14.0,6,1.281
pges-jc,alarm,alarm.xbif_,8,8,10,-1,9,-0.4258948924434913,-54147.705706794804,20.0,6.0,14.0,4,1.269
pges-jc,alarm,alarm.xbif_,8,8,15,-1,9,-0.3815982032726781,-54147.7057067948,20.0,6.0,14.0,3,0.971
pges-jc,alarm,alarm.xbif_,8,8,5,-1,9,-0.4258948924434913,-54147.705706794804,20.0,6.0,14.0,5,1.158
pges-jc,andes,andes.xbif50001246_,16,16,10,-1,164,-0.5469955654129716,-471646.98247518926,354.0,10.0,344.0,100,208.064
pges-jc,andes,andes.xbif50001246_,16,16,15,-1,168,-0.5458509536590108,-471933.53573995864,366.0,22.0,344.0,5,12.357
pges-jc,andes,andes.xbif50001246_,16,16,5,-1,176,-0.5449809026155078,-471893.8592727777,378.0,28.0,350.0,11,20.494
pges-jc,andes,andes.xbif50001246_,2,2,10,-1,177,-0.546643568037373,-471969.1898609717,380.0,20.0,360.0,18,37.558
pges-jc,andes,andes.xbif50001246_,2,2,15,-1,164,-0.5449816033068328,-471620.75670600095,354.0,10.0,344.0,13,28.541
pges-jc,andes,andes.xbif50001246_,2,2,5,-1,164,-0.5449806258691103,-471620.75670600095,354.0,10.0,344.0,34,44.12
