network,algorithm,pges_threads,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,time(s),deltaBDeu,deltas,deltaSHD,deltaSHDemptySHD
alarm,Fges,1,7.909090909090909,-0.28156446513602745,-10.78838283738601,16.363636363636363,1.8181818181818181,14.545454545454545,0.9491818181818182,9.786729164287443,10.751341199809545,57.09090909090909,87.83216783216784
alarm,Fges-faithfulness,1,7.909090909090909,-0.28156446513602745,-10.78838283738601,16.363636363636363,1.8181818181818181,14.545454545454545,1.1134545454545455,9.786729164287443,9.030547878298409,57.09090909090909,87.83216783216784
alarm,GES,1,9.272727272727273,-0.4101761469264806,-10.873255062710609,19.09090909090909,4.7272727272727275,14.363636363636363,0.7856363636363636,9.701856938962845,12.490527099904279,55.72727272727273,85.73426573426573
alarm,pGES,2,8.090909090909092,-0.4196716439903339,-10.789201788211479,16.545454545454547,1.2727272727272727,15.272727272727273,1.0355454545454545,9.785910213461976,9.576440872388002,56.90909090909091,87.55244755244756
alarm,pGES,4,7.545454545454546,-0.4300787940457267,-10.787500608303882,15.090909090909092,0.9090909090909091,14.181818181818182,1.079090909090909,9.787611393369572,9.129843225923368,57.45454545454545,88.3916083916084
alarm,pGES,8,7.545454545454546,-0.4223725755718101,-10.787846062217866,15.090909090909092,0.9090909090909091,14.181818181818182,1.1298181818181818,9.787265939455587,8.69961171725285,57.45454545454545,88.3916083916084
alarm,pGES,16,7.2727272727272725,-0.44019185384340614,-10.787357024371806,14.545454545454545,0.5454545454545454,14.0,1.2527272727272727,9.787754977301647,7.870298980190782,57.72727272727273,88.81118881118881
alarm,pGES-jc,2,7.2727272727272725,-0.4199227997725982,-10.788218959282606,14.545454545454545,0.5454545454545454,14.0,1.0865454545454545,9.786893042390847,9.104839282608964,57.72727272727273,88.81118881118881
alarm,pGES-jc,4,7.363636363636363,-0.42028404641924644,-10.788721806283013,14.909090909090908,0.9090909090909091,14.0,1.1161818181818182,9.78639019539044,8.841359727467383,57.63636363636363,88.67132867132868
alarm,pGES-jc,8,7.363636363636363,-0.4266133641965251,-10.788721806283013,14.909090909090908,0.9090909090909091,14.0,1.2928181818181819,9.78639019539044,7.613107895711062,57.63636363636363,88.67132867132868
alarm,pGES-jc,16,7.545454545454546,-0.4278440207499845,-10.792013478931615,15.454545454545455,1.4545454545454546,14.0,1.4264545454545454,9.783098522741836,6.9056512156401455,57.45454545454545,88.3916083916084
andes,Fges,1,232.45454545454547,-0.420172983106478,-94.74011436546543,496.72727272727275,48.72727272727273,448.0,2.974909090909091,28.018070689219794,9.42271890818042,393.54545454545456,62.86668602962532
andes,Fges-faithfulness,1,179.27272727272728,-0.4187200075593655,-94.52303209783263,386.54545454545456,55.27272727272727,331.27272727272725,10.404545454545454,28.2351529568526,2.715132835591102,446.72727272727275,71.36218414173686
andes,GES,1,151.54545454545453,-0.5406987493887114,-94.31627883054607,326.90909090909093,7.2727272727272725,319.6363636363636,19.177,28.441906224139167,1.4853997189754395,474.45454545454544,75.7914609352309
andes,pGES,2,152.8181818181818,-0.5430409667799536,-94.31714498329757,329.6363636363636,7.2727272727272725,322.3636363636364,7.2784545454545455,28.44104007138765,3.9210777221206885,473.1818181818182,75.58814986930003
andes,pGES,4,153.36363636363637,-0.5429336806261641,-94.31667766996479,330.72727272727275,7.818181818181818,322.90909090909093,5.88109090909091,28.44150738472043,4.852573033527828,472.6363636363636,75.50101655532966
andes,pGES,8,151.0,-0.5430866582599289,-94.31476147716266,326.0,5.454545454545454,320.54545454545456,6.1431818181818185,28.443423577522573,4.651439088090949,475.0,75.87859424920129
andes,pGES,16,151.72727272727272,-0.542985122169461,-94.31537440984161,327.27272727272725,6.545454545454546,320.72727272727275,7.737181818181819,28.442810644843618,3.7139010393550422,474.27272727272725,75.76241649724078
andes,pGES-jc,2,152.27272727272728,-0.5430055762105866,-94.31601837690859,328.3636363636364,7.090909090909091,321.27272727272725,8.750181818181817,28.44216667777664,3.2788624262885535,473.72727272727275,75.6752831832704
andes,pGES-jc,4,151.1818181818182,-0.543009191352742,-94.31483419245764,326.1818181818182,6.0,320.1818181818182,6.619272727272727,28.443350862227586,4.323834134710294,474.8181818181818,75.84954981121115
andes,pGES-jc,8,151.1818181818182,-0.5429528189300896,-94.31484019537987,326.1818181818182,6.0,320.1818181818182,6.489454545454546,28.443344859305355,4.4149855403924345,474.8181818181818,75.84954981121115
andes,pGES-jc,16,151.9090909090909,-0.5429405761079104,-94.31588656719599,327.6363636363636,6.7272727272727275,320.90909090909093,7.958181818181817,28.442298487489253,3.5952744895176467,474.09090909090907,75.73337205925066
barley,Fges,1,59.54545454545455,-0.09611049818862692,-53.35754652911801,141.0909090909091,6.363636363636363,134.72727272727272,4.699727272727273,27.683378564637756,6.14786569660508,66.45454545454545,52.741702741702746
barley,Fges-faithfulness,1,55.90909090909091,-0.09462673672939557,-52.838532833510186,133.8181818181818,6.363636363636363,127.45454545454545,12.165999999999999,28.202392260245585,2.512511916381952,70.0909090909091,55.62770562770563
barley,GES,1,61.18181818181818,-0.11315401102867698,-53.2231294452414,154.0,14.181818181818182,139.8181818181818,1.6223636363636365,27.817795648514377,17.175963247952964,64.81818181818181,51.44300144300144
barley,pGES,2,56.0,-0.12141187887382753,-52.80011815860494,136.36363636363637,10.545454545454545,125.81818181818181,1.7829090909090908,28.240806935150832,15.921910957247801,70.0,55.55555555555555
