algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
pges-jc,child,child.xbif50003_,16,16,5,-1,4,-0.7139801221264772,-61991.3123882202,8.0,0.0,8.0,5,0.997
pges-jc,child,child.xbif50003_,2,2,10,-1,0,-0.7585589334571001,-61885.50571837705,0.0,0.0,0.0,7,1.215
pges-jc,child,child.xbif50003_,2,2,15,-1,0,-0.7585589334571001,-61885.50571837705,0.0,0.0,0.0,7,1.516
pges-jc,child,child.xbif50003_,2,2,5,-1,0,-0.7544118679775818,-61885.50571837705,0.0,0.0,0.0,9,1.327
pges-jc,child,child.xbif50003_,4,4,10,-1,2,-0.7689052545430728,-61962.91349865501,4.0,0.0,4.0,6,1.09
pges-jc,child,child.xbif50003_,4,4,15,-1,5,-0.7295578180415238,-62051.59968406954,12.0,2.0,10.0,5,0.718
pges-jc,child,child.xbif50003_,4,4,5,-1,2,-0.7689052545430728,-61962.91349865501,4.0,0.0,4.0,7,0.956
pges-jc,child,child.xbif50003_,8,8,10,-1,4,-0.7191732733048555,-61941.42781446735,8.0,0.0,8.0,5,0.826
pges-jc,child,child.xbif50003_,8,8,15,-1,4,-0.7534387649312435,-61941.42781446735,8.0,0.0,8.0,5,0.88
pges-jc,child,child.xbif50003_,8,8,5,-1,4,-0.7686230106650913,-61941.42781446735,8.0,0.0,8.0,6,0.938
pges-jc,child,child.xbif50004_,16,16,10,-1,7,-0.7533950852246492,-62357.429593234156,14.0,2.0,12.0,4,0.805
pges-jc,child,child.xbif50004_,16,16,15,-1,7,-0.7533950852246492,-62357.429593234156,14.0,2.0,12.0,4,0.931
pges-jc,child,child.xbif50004_,16,16,5,-1,12,-0.7175789012796141,-62617.27872587732,24.0,10.0,14.0,5,0.779
pges-jc,child,child.xbif50004_,2,2,10,-1,3,-0.7585772020706227,-62217.25266061989,6.0,2.0,4.0,6,1.405
pges-jc,child,child.xbif50004_,2,2,15,-1,3,-0.7585772020706227,-62217.25266061989,6.0,2.0,4.0,6,1.278
pges-jc,child,child.xbif50004_,2,2,5,-1,3,-0.7544143068575088,-62217.25266061989,6.0,2.0,4.0,8,1.336
pges-jc,child,child.xbif50004_,4,4,10,-1,7,-0.7686412792786138,-62281.071075316766,14.0,2.0,12.0,5,0.693
pges-jc,child,child.xbif50004_,4,4,15,-1,7,-0.7191441000852035,-62281.071075316766,14.0,2.0,12.0,4,0.875
pges-jc,child,child.xbif50004_,4,4,5,-1,7,-0.7686412792786138,-62281.071075316766,14.0,2.0,12.0,6,0.737
pges-jc,child,child.xbif50004_,8,8,10,-1,9,-0.6161899063620875,-62381.34230214854,18.0,2.0,16.0,4,0.634
pges-jc,child,child.xbif50004_,8,8,15,-1,7,-0.7688877909057439,-62281.071075316766,14.0,2.0,12.0,4,0.858
pges-jc,child,child.xbif50004_,8,8,5,-1,7,-0.7686412792786138,-62281.071075316766,14.0,2.0,12.0,6,0.803
pges-jc,child,child.xbif50005_,16,16,10,-1,6,-0.6067812440766541,-62297.47255533336,12.0,0.0,12.0,4,1.001
pges-jc,child,child.xbif50005_,16,16,15,-1,6,-0.7139735212707491,-62297.47255533336,12.0,0.0,12.0,4,0.911
pges-jc,child,child.xbif50005_,16,16,5,-1,4,-0.7139801221264772,-62266.99289863528,8.0,0.0,8.0,5,1.16
pges-jc,child,child.xbif50005_,2,2,10,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,7,1.429
pges-jc,child,child.xbif50005_,2,2,15,-1,0,-0.7585589334571001,-62106.99043147799,0.0,0.0,0.0,7,1.428
pges-jc,child,child.xbif50005_,2,2,5,-1,0,-0.7544118679775818,-62106.99043147799,0.0,0.0,0.0,9,1.29
pges-jc,child,child.xbif50005_,4,4,10,-1,2,-0.758619042929815,-62194.55417374051,4.0,0.0,4.0,6,0.991
pges-jc,child,child.xbif50005_,4,4,15,-1,2,-0.7191817674523159,-62194.55417374051,4.0,0.0,4.0,5,0.841
pges-jc,child,child.xbif50005_,4,4,5,-1,2,-0.758619042929815,-62194.55417374051,4.0,0.0,4.0,7,1.041
pges-jc,child,child.xbif50005_,8,8,10,-1,6,-0.6118408249015614,-62297.47255533336,12.0,0.0,12.0,5,0.921
pges-jc,child,child.xbif50005_,8,8,15,-1,6,-0.7191928017847207,-62267.04634395666,12.0,0.0,12.0,4,0.962
pges-jc,child,child.xbif50005_,8,8,5,-1,6,-0.7686831201378059,-62267.04634395666,12.0,0.0,12.0,5,0.672
pges-jc,child,child.xbif50006_,16,16,10,-1,4,-0.7139886162739376,-62527.65499304223,8.0,0.0,8.0,4,0.885
pges-jc,child,child.xbif50006_,16,16,15,-1,6,-0.7139886162739376,-62557.679524803105,12.0,0.0,12.0,4,0.736
pges-jc,child,child.xbif50006_,16,16,5,-1,4,-0.7139801221264772,-62497.88013753669,8.0,0.0,8.0,5,0.742
pges-jc,child,child.xbif50006_,2,2,10,-1,0,-0.7585589334571001,-62334.07230844594,0.0,0.0,0.0,7,1.399
pges-jc,child,child.xbif50006_,2,2,15,-1,0,-0.7585589334571001,-62334.07230844594,0.0,0.0,0.0,7,1.287
pges-jc,child,child.xbif50006_,2,2,5,-1,0,-0.7544118679775818,-62334.07230844594,0.0,0.0,0.0,9,1.363
pges-jc,child,child.xbif50006_,4,4,10,-1,4,-0.7686720858054011,-62447.30113742519,8.0,0.0,8.0,6,0.964
pges-jc,child,child.xbif50006_,4,4,15,-1,4,-0.7295085600584231,-62474.47522758473,8.0,0.0,8.0,6,1.055
pges-jc,child,child.xbif50006_,4,4,5,-1,2,-0.7544719774502963,-62417.276605664316,4.0,0.0,4.0,7,1.271
pges-jc,child,child.xbif50006_,8,8,10,-1,6,-0.7191928017847207,-62500.73057913801,12.0,0.0,12.0,5,0.83
pges-jc,child,child.xbif50006_,8,8,15,-1,4,-0.7191817674523159,-62447.30113742519,8.0,0.0,8.0,5,0.937
pges-jc,child,child.xbif50006_,8,8,5,-1,6,-0.7645360546582876,-62500.73057913801,12.0,0.0,12.0,6,0.94
pges-jc,child,child.xbif50007_,16,16,10,-1,6,-0.7139801221264772,-62522.9684874422,12.0,0.0,12.0,4,0.748
pges-jc,child,child.xbif50007_,16,16,15,-1,6,-0.7139801221264772,-62522.9684874422,12.0,0.0,12.0,4,0.739
pges-jc,child,child.xbif50007_,16,16,5,-1,4,-0.7139801221264772,-62498.03792324896,8.0,0.0,8.0,5,0.725
pges-jc,child,child.xbif50007_,2,2,10,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,8,1.293
pges-jc,child,child.xbif50007_,2,2,15,-1,0,-0.7585589334571001,-62393.39933903459,0.0,0.0,0.0,8,1.407
pges-jc,child,child.xbif50007_,2,2,5,-1,0,-0.7544118679775818,-62393.39933903459,0.0,0.0,0.0,10,1.46
pges-jc,child,child.xbif50007_,4,4,10,-1,4,-0.7686720858054011,-62508.900503512436,8.0,0.0,8.0,6,0.606
pges-jc,child,child.xbif50007_,4,4,15,-1,2,-0.6638430234524237,-62485.029843316916,4.0,0.0,4.0,8,0.951
pges-jc,child,child.xbif50007_,4,4,5,-1,3,-0.754529501566483,-62574.42099436526,6.0,0.0,6.0,8,0.943
pges-jc,child,child.xbif50007_,8,8,10,-1,2,-0.758619042929815,-62483.96993931919,4.0,0.0,4.0,7,0.989
pges-jc,child,child.xbif50007_,8,8,15,-1,2,-0.7295085600584231,-62485.029843316916,4.0,0.0,4.0,6,1.013
pges-jc,child,child.xbif50007_,8,8,5,-1,2,-0.6638430234524237,-62485.029843316916,4.0,0.0,4.0,9,1.093
pges-jc,child,child.xbif50008_,16,16,10,-1,8,-0.7139996506063425,-62188.6616607506,16.0,0.0,16.0,3,0.678
pges-jc,child,child.xbif50008_,16,16,15,-1,8,-0.7139996506063425,-62188.6616607506,16.0,0.0,16.0,3,0.631
pges-jc,child,child.xbif50008_,16,16,5,-1,4,-0.7139801221264772,-62068.55458197218,8.0,0.0,8.0,5,0.766
pges-jc,child,child.xbif50008_,2,2,10,-1,0,-0.7585589334571001,-61964.3122337022,0.0,0.0,0.0,8,1.48
pges-jc,child,child.xbif50008_,2,2,15,-1,0,-0.7585589334571001,-61964.3122337022,0.0,0.0,0.0,8,1.544
pges-jc,child,child.xbif50008_,2,2,5,-1,0,-0.7544118679775818,-61964.3122337022,0.0,0.0,0.0,10,1.294
pges-jc,child,child.xbif50008_,4,4,10,-1,4,-0.7789582974186592,-62084.23122433625,8.0,0.0,8.0,6,1.015
pges-jc,child,child.xbif50008_,4,4,15,-1,4,-0.7295280885382887,-62127.77484704678,8.0,0.0,8.0,6,1.217
pges-jc,child,child.xbif50008_,4,4,5,-1,2,-0.7647581890635544,-62045.9494963023,4.0,0.0,4.0,8,1.223
pges-jc,child,child.xbif50008_,8,8,10,-1,6,-0.7789693317510642,-62106.836310006125,12.0,0.0,12.0,5,0.82
pges-jc,child,child.xbif50008_,8,8,15,-1,4,-0.7295085600584231,-62084.23122433625,8.0,0.0,8.0,5,1.023
pges-jc,child,child.xbif50008_,8,8,5,-1,6,-0.7748222662715457,-62106.836310006125,12.0,0.0,12.0,6,0.967
pges-jc,child,child.xbif50009_,16,16,10,-1,6,-0.7139801221264772,-62717.224958278806,12.0,0.0,12.0,4,0.719
pges-jc,child,child.xbif50009_,16,16,15,-1,6,-0.7139801221264772,-62717.224958278806,12.0,0.0,12.0,4,0.743
pges-jc,child,child.xbif50009_,16,16,5,-1,4,-0.7139801221264772,-62677.27008098802,8.0,0.0,8.0,5,0.763
pges-jc,child,child.xbif50009_,2,2,10,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,7,1.278
pges-jc,child,child.xbif50009_,2,2,15,-1,0,-0.7585589334571001,-62549.39502463251,0.0,0.0,0.0,7,1.535
pges-jc,child,child.xbif50009_,2,2,5,-1,0,-0.7544118679775818,-62549.39502463251,0.0,0.0,0.0,9,1.49
pges-jc,child,child.xbif50009_,4,4,10,-1,2,-0.7689052545430728,-62630.989302916845,4.0,0.0,4.0,6,1.146
pges-jc,child,child.xbif50009_,4,4,15,-1,2,-0.7689052545430728,-62630.989302916845,4.0,0.0,4.0,6,1.14
pges-jc,child,child.xbif50009_,4,4,5,-1,1,-0.7544693920937684,-62613.734655617154,2.0,0.0,2.0,8,1.209
pges-jc,child,child.xbif50009_,8,8,10,-1,2,-0.7689052545430728,-62630.989302916845,4.0,0.0,4.0,6,0.762
pges-jc,child,child.xbif50009_,8,8,15,-1,2,-0.7295085600584231,-62630.989302916845,4.0,0.0,4.0,5,0.862
pges-jc,child,child.xbif50009_,8,8,5,-1,2,-0.7647581890635544,-62630.989302916845,4.0,0.0,4.0,7,0.841
pges-jc,child,child.xbif_,16,16,10,-1,7,-0.7139399145744203,-61941.927361268084,14.0,2.0,12.0,4,0.799
pges-jc,child,child.xbif_,16,16,15,-1,7,-0.7139399145744203,-61941.927361268084,14.0,2.0,12.0,4,0.699
pges-jc,child,child.xbif_,16,16,5,-1,4,-0.7139801221264772,-61848.56943979903,8.0,0.0,8.0,5,1.082
pges-jc,child,child.xbif_,2,2,10,-1,3,-0.7585772020706227,-61807.01015635496,6.0,2.0,4.0,7,1.39
pges-jc,child,child.xbif_,2,2,15,-1,3,-0.7585772020706227,-61807.01015635496,6.0,2.0,4.0,7,1.465
pges-jc,child,child.xbif_,2,2,5,-1,3,-0.7544143068575088,-61807.01015635496,6.0,2.0,4.0,9,1.5
pges-jc,child,child.xbif_,4,4,10,-1,5,-0.7686302449462088,-61855.67914692814,10.0,2.0,8.0,6,0.757
pges-jc,child,child.xbif_,4,4,15,-1,5,-0.7294793868387711,-61893.25837069491,10.0,2.0,8.0,6,1.089
pges-jc,child,child.xbif_,4,4,5,-1,5,-0.7644673497330952,-61855.67914692814,10.0,2.0,8.0,7,0.775
pges-jc,child,child.xbif_,8,8,10,-1,7,-0.7686412792786138,-61892.451970976144,14.0,2.0,12.0,5,0.655
pges-jc,child,child.xbif_,8,8,15,-1,5,-0.7191330657527985,-61855.67914692814,10.0,2.0,8.0,5,0.765
pges-jc,child,child.xbif_,8,8,5,-1,7,-0.7644783840655001,-61892.451970976144,14.0,2.0,12.0,6,0.676
pges-jc,earthquake,earthquake.xbif50001246_,2,2,10,-1,0,-0.0873311413127423,-2345.6100008629737,0.0,0.0,0.0,3,0.271
pges-jc,earthquake,earthquake.xbif50001246_,2,2,15,-1,0,-0.0873311413127423,-2345.6100008629737,0.0,0.0,0.0,3,0.293
pges-jc,earthquake,earthquake.xbif50001246_,2,2,5,-1,0,-0.0873311413127423,-2345.6100008629737,0.0,0.0,0.0,3,0.252
pges-jc,earthquake,earthquake.xbif50001246_,4,4,10,-1,0,-0.0887391925942801,-2345.6100008629737,0.0,0.0,0.0,3,0.279
pges-jc,earthquake,earthquake.xbif50001246_,4,4,15,-1,0,-0.0887391925942801,-2345.6100008629737,0.0,0.0,0.0,3,0.618
pges-jc,earthquake,earthquake.xbif50001246_,4,4,5,-1,0,-0.0887391925942801,-2345.6100008629737,0.0,0.0,0.0,3,0.242
pges-jc,earthquake,earthquake.xbif50001_,2,2,10,-1,0,-0.0873311413127423,-2236.8610612068424,0.0,0.0,0.0,3,0.249
pges-jc,earthquake,earthquake.xbif50001_,2,2,15,-1,0,-0.0873311413127423,-2236.8610612068424,0.0,0.0,0.0,3,0.268
pges-jc,earthquake,earthquake.xbif50001_,2,2,5,-1,0,-0.0873311413127423,-2236.8610612068424,0.0,0.0,0.0,3,0.252
pges-jc,earthquake,earthquake.xbif50001_,4,4,10,-1,0,-0.0887391925942801,-2236.8610612068424,0.0,0.0,0.0,3,0.255
pges-jc,earthquake,earthquake.xbif50001_,4,4,15,-1,0,-0.0887391925942801,-2236.8610612068424,0.0,0.0,0.0,3,0.244
pges-jc,earthquake,earthquake.xbif50001_,4,4,5,-1,0,-0.0887391925942801,-2236.8610612068424,0.0,0.0,0.0,3,0.245
pges-jc,earthquake,earthquake.xbif50002_,2,2,10,-1,0,-0.0873311413127423,-2253.264883474652,0.0,0.0,0.0,3,0.215
pges-jc,earthquake,earthquake.xbif50002_,2,2,15,-1,0,-0.0873311413127423,-2253.264883474652,0.0,0.0,0.0,3,0.241
pges-jc,earthquake,earthquake.xbif50002_,2,2,5,-1,0,-0.0873311413127423,-2253.264883474652,0.0,0.0,0.0,3,0.218
pges-jc,earthquake,earthquake.xbif50002_,4,4,10,-1,0,-0.0887391925942801,-2253.264883474652,0.0,0.0,0.0,3,0.256
pges-jc,earthquake,earthquake.xbif50002_,4,4,15,-1,0,-0.0887391925942801,-2253.264883474652,0.0,0.0,0.0,3,0.242
pges-jc,earthquake,earthquake.xbif50002_,4,4,5,-1,0,-0.0887391925942801,-2253.264883474652,0.0,0.0,0.0,3,0.247
pges-jc,earthquake,earthquake.xbif50003_,2,2,10,-1,0,-0.0873311413127423,-2248.1283443594384,0.0,0.0,0.0,3,0.216
pges-jc,earthquake,earthquake.xbif50003_,2,2,15,-1,0,-0.0873311413127423,-2248.1283443594384,0.0,0.0,0.0,3,0.228
pges-jc,earthquake,earthquake.xbif50003_,2,2,5,-1,0,-0.0873311413127423,-2248.1283443594384,0.0,0.0,0.0,3,0.214
pges-jc,earthquake,earthquake.xbif50003_,4,4,10,-1,0,-0.0887391925942801,-2248.1283443594384,0.0,0.0,0.0,3,0.328
pges-jc,earthquake,earthquake.xbif50003_,4,4,15,-1,0,-0.0887391925942801,-2248.1283443594384,0.0,0.0,0.0,3,0.29
pges-jc,earthquake,earthquake.xbif50003_,4,4,5,-1,0,-0.0887391925942801,-2248.1283443594384,0.0,0.0,0.0,3,0.235
pges-jc,earthquake,earthquake.xbif50004_,2,2,10,-1,0,-0.0873311413127423,-2306.881536683167,0.0,0.0,0.0,3,0.26
pges-jc,earthquake,earthquake.xbif50004_,2,2,15,-1,0,-0.0873311413127423,-2306.881536683167,0.0,0.0,0.0,3,0.263
pges-jc,earthquake,earthquake.xbif50004_,2,2,5,-1,0,-0.0873311413127423,-2306.881536683167,0.0,0.0,0.0,3,0.247
pges-jc,earthquake,earthquake.xbif50004_,4,4,10,-1,0,-0.0887391925942801,-2306.881536683167,0.0,0.0,0.0,3,0.295
pges-jc,earthquake,earthquake.xbif50004_,4,4,15,-1,0,-0.0887391925942801,-2306.881536683167,0.0,0.0,0.0,3,0.291
pges-jc,earthquake,earthquake.xbif50004_,4,4,5,-1,0,-0.0887391925942801,-2306.881536683167,0.0,0.0,0.0,3,0.24
pges-jc,earthquake,earthquake.xbif50005_,2,2,10,-1,0,-0.0873311413127423,-2272.8191823027114,0.0,0.0,0.0,3,0.23
pges-jc,earthquake,earthquake.xbif50005_,2,2,15,-1,0,-0.0873311413127423,-2272.8191823027114,0.0,0.0,0.0,3,0.24
pges-jc,earthquake,earthquake.xbif50005_,2,2,5,-1,0,-0.0873311413127423,-2272.8191823027114,0.0,0.0,0.0,3,0.278
pges-jc,earthquake,earthquake.xbif50005_,4,4,10,-1,0,-0.0887391925942801,-2272.8191823027114,0.0,0.0,0.0,3,0.286
pges-jc,earthquake,earthquake.xbif50005_,4,4,15,-1,0,-0.0887391925942801,-2272.8191823027114,0.0,0.0,0.0,3,0.25
pges-jc,earthquake,earthquake.xbif50005_,4,4,5,-1,0,-0.0887391925942801,-2272.8191823027114,0.0,0.0,0.0,3,0.221
pges-jc,earthquake,earthquake.xbif50006_,2,2,10,-1,0,-0.0873311413127423,-2389.0798675177184,0.0,0.0,0.0,3,0.25
pges-jc,earthquake,earthquake.xbif50006_,2,2,15,-1,0,-0.0873311413127423,-2389.0798675177184,0.0,0.0,0.0,3,0.263
pges-jc,earthquake,earthquake.xbif50006_,2,2,5,-1,0,-0.0873311413127423,-2389.0798675177184,0.0,0.0,0.0,3,0.282
pges-jc,earthquake,earthquake.xbif50006_,4,4,10,-1,0,-0.0887391925942801,-2389.0798675177184,0.0,0.0,0.0,3,0.252
pges-jc,earthquake,earthquake.xbif50006_,4,4,15,-1,0,-0.0887391925942801,-2389.0798675177184,0.0,0.0,0.0,3,0.343
pges-jc,earthquake,earthquake.xbif50006_,4,4,5,-1,0,-0.0887391925942801,-2389.0798675177184,0.0,0.0,0.0,3,0.238
pges-jc,earthquake,earthquake.xbif50007_,2,2,10,-1,0,-0.0873311413127423,-2603.7144519249823,0.0,0.0,0.0,3,0.254
pges-jc,earthquake,earthquake.xbif50007_,2,2,15,-1,0,-0.0873311413127423,-2603.7144519249823,0.0,0.0,0.0,3,0.276
pges-jc,earthquake,earthquake.xbif50007_,2,2,5,-1,0,-0.0873311413127423,-2603.7144519249823,0.0,0.0,0.0,3,0.263
pges-jc,earthquake,earthquake.xbif50007_,4,4,10,-1,0,-0.0887391925942801,-2603.7144519249823,0.0,0.0,0.0,3,0.242
pges-jc,earthquake,earthquake.xbif50007_,4,4,15,-1,0,-0.0887391925942801,-2603.7144519249823,0.0,0.0,0.0,3,0.23
pges-jc,earthquake,earthquake.xbif50007_,4,4,5,-1,0,-0.0887391925942801,-2603.7144519249823,0.0,0.0,0.0,3,0.216
pges-jc,earthquake,earthquake.xbif50008_,2,2,10,-1,0,-0.0873311413127423,-2366.720284843115,0.0,0.0,0.0,3,0.4
pges-jc,earthquake,earthquake.xbif50008_,2,2,15,-1,0,-0.0873311413127423,-2366.720284843115,0.0,0.0,0.0,3,0.37
pges-jc,earthquake,earthquake.xbif50008_,2,2,5,-1,0,-0.0873311413127423,-2366.720284843115,0.0,0.0,0.0,3,0.325
pges-jc,earthquake,earthquake.xbif50008_,4,4,10,-1,0,-0.0887391925942801,-2366.7202848431148,0.0,0.0,0.0,3,0.25
pges-jc,earthquake,earthquake.xbif50008_,4,4,15,-1,0,-0.0887391925942801,-2366.7202848431148,0.0,0.0,0.0,3,0.259
pges-jc,earthquake,earthquake.xbif50008_,4,4,5,-1,0,-0.0887391925942801,-2366.7202848431148,0.0,0.0,0.0,3,0.225
pges-jc,earthquake,earthquake.xbif50009_,2,2,10,-1,0,-0.0873311413127423,-2277.7738417684845,0.0,0.0,0.0,3,0.379
pges-jc,earthquake,earthquake.xbif50009_,2,2,15,-1,0,-0.0873311413127423,-2277.7738417684845,0.0,0.0,0.0,3,0.401
pges-jc,earthquake,earthquake.xbif50009_,2,2,5,-1,0,-0.0873311413127423,-2277.7738417684845,0.0,0.0,0.0,3,0.402
pges-jc,earthquake,earthquake.xbif50009_,4,4,10,-1,0,-0.0887391925942801,-2277.7738417684845,0.0,0.0,0.0,3,0.249
pges-jc,earthquake,earthquake.xbif50009_,4,4,15,-1,0,-0.0887391925942801,-2277.7738417684845,0.0,0.0,0.0,3,0.253
pges-jc,earthquake,earthquake.xbif50009_,4,4,5,-1,0,-0.0887391925942801,-2277.7738417684845,0.0,0.0,0.0,3,0.25
pges-jc,earthquake,earthquake.xbif_,2,2,10,-1,0,-0.0873311413127423,-2198.5956008955727,0.0,0.0,0.0,3,0.251
pges-jc,earthquake,earthquake.xbif_,2,2,15,-1,0,-0.0873311413127423,-2198.5956008955727,0.0,0.0,0.0,3,0.275
pges-jc,earthquake,earthquake.xbif_,2,2,5,-1,0,-0.0873311413127423,-2198.5956008955727,0.0,0.0,0.0,3,0.263
pges-jc,earthquake,earthquake.xbif_,4,4,10,-1,0,-0.0887391925942801,-2198.5956008955727,0.0,0.0,0.0,3,0.276
pges-jc,earthquake,earthquake.xbif_,4,4,15,-1,0,-0.0887391925942801,-2198.5956008955727,0.0,0.0,0.0,3,0.284
pges-jc,earthquake,earthquake.xbif_,4,4,5,-1,0,-0.0887391925942801,-2198.5956008955727,0.0,0.0,0.0,3,0.305
pges-jc,hailfinder,hailfinder.xbif50001246_,16,16,10,-1,40,-1.1055187197788392,-251926.1550195333,80.0,20.0,60.0,5,1.997
pges-jc,hailfinder,hailfinder.xbif50001246_,16,16,15,-1,40,-1.0927404845745203,-251926.1550195333,80.0,20.0,60.0,4,1.99
pges-jc,hailfinder,hailfinder.xbif50001246_,16,16,5,-1,50,-1.1056144933129295,-252107.9792479384,100.0,30.0,70.0,6,2.139
pges-jc,hailfinder,hailfinder.xbif50001246_,2,2,10,-1,32,-1.1033805148730464,-251926.70795361153,64.0,12.0,52.0,7,3.493
pges-jc,hailfinder,hailfinder.xbif50001246_,2,2,15,-1,36,-1.1003970265548315,-251927.04781783573,72.0,16.0,56.0,7,3.384
pges-jc,hailfinder,hailfinder.xbif50001246_,2,2,5,-1,32,-1.0973606447653328,-251927.51816900034,64.0,12.0,52.0,11,4.094
pges-jc,hailfinder,hailfinder.xbif50001246_,4,4,10,-1,40,-1.103408031552062,-251926.1550195333,80.0,20.0,60.0,6,1.712
pges-jc,hailfinder,hailfinder.xbif50001246_,4,4,15,-1,37,-1.0886371759652005,-251961.09594240205,74.0,18.0,56.0,5,1.545
pges-jc,hailfinder,hailfinder.xbif50001246_,4,4,5,-1,40,-1.1198078654601724,-251955.96476132344,80.0,20.0,60.0,9,1.708
pges-jc,hailfinder,hailfinder.xbif50001246_,8,8,10,-1,44,-1.0971227610688132,-252061.82552624017,88.0,24.0,64.0,5,2.203
pges-jc,hailfinder,hailfinder.xbif50001246_,8,8,15,-1,40,-1.1055187197788392,-251926.1550195333,80.0,20.0,60.0,4,1.772
pges-jc,hailfinder,hailfinder.xbif50001246_,8,8,5,-1,44,-1.0928165673488688,-252006.71979925525,88.0,24.0,64.0,7,1.741
pges-jc,hailfinder,hailfinder.xbif50001_,16,16,10,-1,34,-1.0837586704759476,-252130.49325780585,68.0,14.0,54.0,5,2.014
pges-jc,hailfinder,hailfinder.xbif50001_,16,16,15,-1,34,-1.0806486630642547,-252139.66308310343,68.0,14.0,54.0,5,2.201
pges-jc,hailfinder,hailfinder.xbif50001_,16,16,5,-1,38,-1.0872564954846786,-252142.29461315888,76.0,18.0,58.0,7,2.437
pges-jc,hailfinder,hailfinder.xbif50001_,2,2,10,-1,34,-1.11443632892244,-252147.87097998345,68.0,12.0,56.0,7,3.02
pges-jc,hailfinder,hailfinder.xbif50001_,2,2,15,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,6,3.454
pges-jc,hailfinder,hailfinder.xbif50001_,2,2,5,-1,38,-1.103022544816713,-252243.60911067,76.0,16.0,60.0,10,3.995
pges-jc,hailfinder,hailfinder.xbif50001_,4,4,10,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,6,1.634
pges-jc,hailfinder,hailfinder.xbif50001_,4,4,15,-1,36,-1.0756098034416952,-252139.02309463397,72.0,16.0,56.0,5,2.54
pges-jc,hailfinder,hailfinder.xbif50001_,4,4,5,-1,37,-1.1056937528853417,-252197.07443038555,74.0,16.0,58.0,9,2.819
pges-jc,hailfinder,hailfinder.xbif50001_,8,8,10,-1,30,-1.1131237022953824,-252145.54635450913,60.0,8.0,52.0,5,1.906
pges-jc,hailfinder,hailfinder.xbif50001_,8,8,15,-1,30,-1.1044820587208635,-252145.54635450913,60.0,8.0,52.0,4,1.855
pges-jc,hailfinder,hailfinder.xbif50001_,8,8,5,-1,30,-1.1113999471329419,-252145.54635450913,60.0,8.0,52.0,7,1.955
pges-jc,hailfinder,hailfinder.xbif50002_,16,16,10,-1,36,-1.0969542395083163,-252106.75484438613,72.0,14.0,58.0,4,1.855
pges-jc,hailfinder,hailfinder.xbif50002_,16,16,15,-1,38,-1.1048459976842402,-252102.67781138775,76.0,18.0,58.0,5,2.278
pges-jc,hailfinder,hailfinder.xbif50002_,16,16,5,-1,38,-1.1050880238142031,-252102.67781138775,76.0,18.0,58.0,6,1.945
pges-jc,hailfinder,hailfinder.xbif50002_,2,2,10,-1,36,-1.1166654596166217,-252349.36776466435,72.0,18.0,54.0,7,3.623
pges-jc,hailfinder,hailfinder.xbif50002_,2,2,15,-1,36,-1.1169820260793444,-252360.6628096851,72.0,16.0,56.0,6,3.499
pges-jc,hailfinder,hailfinder.xbif50002_,2,2,5,-1,36,-1.1325690015565948,-252393.81086442078,72.0,16.0,56.0,12,4.377
pges-jc,hailfinder,hailfinder.xbif50002_,4,4,10,-1,36,-1.1021100104737924,-252296.83594585973,72.0,14.0,58.0,6,2.49
pges-jc,hailfinder,hailfinder.xbif50002_,4,4,15,-1,42,-1.1157220095241585,-252166.50170655875,84.0,22.0,62.0,5,2.839
pges-jc,hailfinder,hailfinder.xbif50002_,4,4,5,-1,40,-1.1000727461195976,-252391.9177351973,80.0,20.0,60.0,9,2.926
pges-jc,hailfinder,hailfinder.xbif50002_,8,8,10,-1,38,-1.0969542395083163,-252102.67781138775,76.0,18.0,58.0,5,2.155
pges-jc,hailfinder,hailfinder.xbif50002_,8,8,15,-1,38,-1.0972352966675765,-252102.67781138775,76.0,18.0,58.0,4,1.904
pges-jc,hailfinder,hailfinder.xbif50002_,8,8,5,-1,36,-1.1167460181714584,-252328.0938400263,72.0,16.0,56.0,8,2.012
pges-jc,hailfinder,hailfinder.xbif50003_,16,16,10,-1,37,-1.105291818296175,-251854.1693433584,76.0,18.0,58.0,4,1.884
pges-jc,hailfinder,hailfinder.xbif50003_,16,16,15,-1,37,-1.1052769021675337,-251854.1693433584,76.0,18.0,58.0,4,2.034
pges-jc,hailfinder,hailfinder.xbif50003_,16,16,5,-1,45,-1.0899669266311671,-251869.5754810212,92.0,26.0,66.0,6,2.213
pges-jc,hailfinder,hailfinder.xbif50003_,2,2,10,-1,37,-1.1031557842468924,-251854.1693433584,76.0,18.0,58.0,7,3.579
pges-jc,hailfinder,hailfinder.xbif50003_,2,2,15,-1,35,-1.1001500077762718,-251854.47252521882,72.0,16.0,56.0,6,3.356
pges-jc,hailfinder,hailfinder.xbif50003_,2,2,5,-1,35,-1.1001500077762718,-251854.47252521882,72.0,16.0,56.0,11,3.95
