algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
pges-jc,alarm,alarm.xbif50003_,2,2,10,-1,22,-0.4456282713818139,-54247.10668795933,48.0,24.0,24.0,8,2.243
pges-jc,alarm,alarm.xbif50003_,2,2,15,-1,10,-0.4221013160986332,-53606.58404533583,22.0,6.0,16.0,5,2.047
pges-jc,alarm,alarm.xbif50003_,2,2,5,-1,13,-0.4186326875879347,-53830.40935932342,26.0,10.0,16.0,9,2.005
pges-jc,alarm,alarm.xbif50003_,4,4,10,-1,10,-0.4221013160986332,-53606.58404533583,22.0,6.0,16.0,5,1.447
pges-jc,alarm,alarm.xbif50003_,4,4,15,-1,11,-0.4134007670703381,-53523.87041835627,22.0,4.0,18.0,4,1.425
pges-jc,alarm,alarm.xbif50003_,4,4,5,-1,12,-0.4352128631339598,-53687.552034682434,26.0,6.0,20.0,7,1.625
pges-jc,alarm,alarm.xbif50003_,8,8,10,-1,10,-0.4221013160986332,-53606.58404533583,22.0,6.0,16.0,4,0.938
pges-jc,alarm,alarm.xbif50003_,8,8,15,-1,7,-0.4134111409787481,-53485.5689463421,14.0,0.0,14.0,4,1.566
pges-jc,alarm,alarm.xbif50003_,8,8,5,-1,16,-0.44473628253557135,-53980.78056890642,38.0,12.0,26.0,6,0.954
pges-jc,alarm,alarm.xbif50004_,16,16,10,-1,11,-0.4199272063038021,-53796.195695992305,22.0,4.0,18.0,4,1.141
pges-jc,alarm,alarm.xbif50004_,16,16,15,-1,11,-0.43727983569773726,-54098.04323751782,22.0,6.0,16.0,4,1.222
pges-jc,alarm,alarm.xbif50004_,16,16,5,-1,18,-0.422142673445934,-54199.56120413379,38.0,20.0,18.0,6,1.323
pges-jc,alarm,alarm.xbif50004_,2,2,10,-1,10,-0.4288175833690067,-54090.74804747168,24.0,10.0,14.0,9,2.528
pges-jc,alarm,alarm.xbif50004_,2,2,15,-1,10,-0.4239789016012652,-53809.10261725921,20.0,4.0,16.0,5,1.787
pges-jc,alarm,alarm.xbif50004_,2,2,5,-1,20,-0.3919241329232042,-54754.567569213126,46.0,28.0,18.0,9,2.15
pges-jc,alarm,alarm.xbif50004_,4,4,10,-1,12,-0.4149173994470523,-54068.76198959905,28.0,12.0,16.0,6,1.377
pges-jc,alarm,alarm.xbif50004_,4,4,15,-1,11,-0.4297892421926048,-54098.04323751782,22.0,6.0,16.0,4,1.317
pges-jc,alarm,alarm.xbif50004_,4,4,5,-1,7,-0.432062783237082,-53805.03963237895,14.0,0.0,14.0,8,1.715
pges-jc,alarm,alarm.xbif50004_,8,8,10,-1,7,-0.42008957799217583,-53778.532213361286,14.0,0.0,14.0,5,1.851
pges-jc,alarm,alarm.xbif50004_,8,8,15,-1,7,-0.4140767528186578,-53778.53221336128,14.0,0.0,14.0,4,0.945
pges-jc,alarm,alarm.xbif50004_,8,8,5,-1,17,-0.43686736476167587,-54214.69440191506,36.0,18.0,18.0,6,0.99
