algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,2,32,-0.44268168440638905,-57372.39924233271,2.108108108108108,36.0,42.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,3,34,-0.49992421154501654,-57839.10976520086,2.324324324324324,44.0,42.0,10,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,3,22,-0.47945115070452515,-56492.147990206,1.4594594594594594,14.0,40.0,11,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,3,37,-0.46662999378246595,-58418.79257623098,2.4324324324324325,40.0,50.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,5,21,-0.2895987902791174,-56644.223456068336,1.4054054054054055,18.0,34.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,5,20,-0.3734110712620083,-56513.20884493005,1.4594594594594594,18.0,36.0,10,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,5,27,-0.5143512399787628,-56968.157006258894,1.8918918918918919,28.0,42.0,8,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,7,30,-0.4004403731594308,-57673.56070220416,2.0,38.0,36.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,7,24,-0.4238432498363966,-57006.5714724144,1.7297297297297298,20.0,44.0,9,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,7,30,-0.37162349352706897,-57673.56070220416,2.0,38.0,36.0,8,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,11,15,-0.4024308678875348,-56465.790663029016,1.027027027027027,10.0,28.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,11,16,-0.38914560232116985,-56378.80405675922,1.0810810810810811,8.0,32.0,8,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,11,17,-0.40439897302253575,-56506.7705348351,1.0810810810810811,12.0,28.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,13,22,-0.44840163261858895,-56758.97061232194,1.3513513513513513,16.0,34.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,13,19,-0.4681637775085791,-56710.148964019914,1.2972972972972974,16.0,32.0,8,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,13,24,-0.38188462778218674,-57298.28962180863,1.6216216216216217,22.0,38.0,10,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,17,23,-0.366979422263532,-56999.84445339789,1.6216216216216217,22.0,38.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,17,23,-0.41171501570107616,-56975.97512387102,1.6756756756756757,26.0,36.0,9,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,17,25,-0.4531758549606394,-57351.801608435,1.6216216216216217,20.0,40.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,19,15,-0.4080883471029827,-56475.59459345505,1.135135135135135,12.0,30.0,11,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,19,23,-0.3305882900785327,-56763.05384898551,1.5135135135135136,20.0,36.0,9,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,19,22,-0.475319761040341,-57112.83309615356,1.4054054054054055,18.0,34.0,8,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,23,24,-0.4264789003202894,-57479.87881982523,1.6216216216216217,26.0,34.0,9,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,23,18,-0.47156976564535724,-56422.32005385447,1.1891891891891893,8.0,36.0,11,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,23,22,-0.3571118052771912,-57408.02657490866,1.4594594594594594,22.0,32.0,9,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,29,20,-0.4269977816812375,-57238.95108372602,1.2432432432432432,16.0,30.0,10,2
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,29,23,-0.45144086738671324,-56913.34663091265,1.5675675675675675,18.0,40.0,8,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,2,5,29,23,-0.4126523861546874,-57783.59800545149,1.4594594594594594,20.0,34.0,8,1
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,4,5,2,26,-0.4716987244137874,-56848.2722692967,1.6756756756756757,20.0,42.0,7,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,4,5,2,19,-0.486702978736149,-56907.47313767874,1.2972972972972974,12.0,36.0,9,2
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,4,5,2,25,-0.4487538475855845,-57402.04334798227,1.7837837837837838,28.0,38.0,6,0
pfhcbes,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,4,5,3,28,-0.46173560871636643,-57429.01372271719,2.0,34.0,40.0,7,1
pges,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,4,5,3,17,-0.41370164256781117,-56466.54142160794,1.135135135135135,8.0,34.0,8,1
phc,home/jdls/developer/projects/ParallelBNs/res/networks/alarm,alarm.xbif50001_,4,5,3,34,-0.4306144405649231,-58076.083046903455,2.4864864864864864,48.0,44.0,7,1
