algorithm,network,bbdd,threads,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,5,199,-0.5393633080037503,-475893.17306554556,1.9641255605381165,96.0,342.0,17,357
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,7,208,-0.5480578511012831,-475997.18613935297,2.1704035874439462,136.0,348.0,16,347
phc,parallelbns/res/networks/andes,andes.xbif50003_,6,10,17,206,-0.5454470569913551,-476254.1444356158,2.2242152466367715,150.0,346.0,12,1558
hc,parallelbns/res/networks/andes,andes.xbif50003_,1,10,-1,202,-0.41944010028561995,-476409.59673986404,2.0896860986547083,110.0,356.0,35,2105
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,19,214,-0.5451899613535687,-476952.64051621465,2.286995515695067,170.0,340.0,13,316
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,17,196,-0.5423512954047477,-476136.35553761024,2.0358744394618835,114.0,340.0,14,919
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,23,205,-0.5478202029013621,-476621.23695983045,2.098654708520179,128.0,340.0,15,565
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,11,228,-0.5284825020331504,-477166.6638270903,2.412556053811659,184.0,354.0,16,1508
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,2,200,-0.5424275903857811,-476052.33098190726,1.9910313901345291,86.0,358.0,14,270
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,29,193,-0.5418515512689053,-475990.9254817563,1.946188340807175,90.0,344.0,14,709
ges,parallelbns/res/networks/andes,andes.xbif50003_,0,2147483647,-1,193,-0.42013712655218316,-476845.96037059365,1.883408071748879,56.0,364.0,0,635
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,5,231,-0.5467571298864728,-476632.87280395924,2.376681614349776,154.0,376.0,12,261
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,3,210,-0.5478945545379472,-476335.4890009182,2.1524663677130045,130.0,350.0,19,690
pfhcbes,parallelbns/res/networks/andes,andes.xbif50003_,6,10,13,210,-0.5405853306060214,-476367.41190858127,2.1704035874439462,142.0,342.0,16,2154
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,13,217,-0.5487940862135284,-476755.7955483524,2.2690582959641254,148.0,358.0,16,695
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,7,224,-0.5404818631066073,-476555.1178439016,2.2511210762331837,134.0,368.0,14,833
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,17,193,-0.5419264859016548,-476086.2241877348,1.9910313901345291,112.0,332.0,17,422
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,11,211,-0.5428484438767494,-476598.81948509044,2.1704035874439462,134.0,350.0,15,1016
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,29,202,-0.5489807358300693,-475509.8268810595,2.008968609865471,100.0,348.0,17,271
pges,parallelbns/res/networks/andes,andes.xbif50003_,6,15,23,209,-0.5439504764343827,-476325.70662486926,2.2152466367713006,148.0,346.0,16,370
phc,parallelbns/res/networks/andes,andes.xbif50003_,6,15,5,274,-0.5418891501802593,-479102.0481637471,3.0672645739910314,308.0,376.0,10,749
phc,parallelbns/res/networks/andes,andes.xbif50003_,6,15,2,267,-0.5456511197375792,-478475.4939823482,3.1210762331838566,334.0,362.0,9,951
hc,parallelbns/res/networks/andes,andes.xbif50003_,1,15,-1,202,-0.41944010028561995,-476409.59673986404,2.0896860986547083,110.0,356.0,24,2099
phc,parallelbns/res/networks/andes,andes.xbif50003_,6,15,13,269,-0.542216894909138,-479804.8969341831,3.1479820627802693,330.0,372.0,10,200
