algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,7,22,-0.3821865670750352,-57290.8025735706,1.6216216216216217,24.0,36.0,7,3
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,10,17,21,-0.39004240186465017,-56895.45450573028,1.3513513513513513,12.0,38.0,10,6
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,2,21,-0.4525874235498869,-57195.42138884581,1.4594594594594594,20.0,34.0,5,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,5,24,-0.46857431530830135,-57710.11491880986,1.6756756756756757,24.0,38.0,5,4
hc,parallelbns/res/networks/alarm,alarm.xbif_,1,10,-1,24,-0.2867414238005255,-57403.82806834273,1.5135135135135136,20.0,36.0,7,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,10,29,19,-0.46016873197242364,-56983.1072565972,1.3513513513513513,14.0,36.0,9,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,10,19,19,-0.4573692735858151,-56970.91926117733,1.2432432432432432,10.0,36.0,9,6
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,10,23,19,-0.43120723417068685,-57025.80831314476,1.135135135135135,8.0,34.0,9,8
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,13,27,-0.4140858388116537,-57448.07309874179,1.7297297297297298,22.0,42.0,5,5
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,17,17,-0.41539803146723764,-57062.36807911812,1.135135135135135,12.0,30.0,6,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,29,29,-0.4609853226085125,-57558.69472516129,1.8918918918918919,28.0,42.0,6,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,2,22,-0.44444295134018336,-57086.683640228635,1.4594594594594594,16.0,38.0,6,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,23,23,-0.4281672949645841,-57348.7570171284,1.7297297297297298,28.0,36.0,5,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,10,19,26,-0.33475802258873966,-57742.19801097058,1.7837837837837838,28.0,38.0,7,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,3,23,-0.4124260269746616,-57524.823402168375,1.4594594594594594,18.0,36.0,7,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,11,21,-0.39817870052680904,-57249.72869829604,1.5135135135135136,20.0,36.0,8,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,5,29,-0.4372285362491142,-57616.49549141171,1.8918918918918919,32.0,38.0,6,3
ges,parallelbns/res/networks/alarm,alarm.xbif_,0,15,-1,54,-0.38128291606546527,-72442.55656273881,3.2972972972972974,4.0,118.0,0,1
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,13,28,-0.44170616267748203,-57449.93752165246,1.7837837837837838,22.0,44.0,8,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,7,25,-0.48558319405385797,-57363.625324213615,1.6756756756756757,24.0,38.0,8,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,17,18,-0.4494061739012653,-57059.51992368001,1.1891891891891893,12.0,32.0,8,3
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,2,15,-0.4030882362229384,-56871.06832245575,0.972972972972973,6.0,30.0,7,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,23,24,-0.41171848949586676,-57377.27056782855,1.7837837837837838,30.0,36.0,7,5
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,19,29,-0.3782690934054349,-57743.58608936662,2.0,28.0,46.0,6,7
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,10,29,20,-0.42673466798168774,-57177.69998049175,1.2432432432432432,14.0,32.0,8,6
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,11,20,-0.42013199107312116,-57437.69500759427,1.3513513513513513,16.0,34.0,9,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,13,31,-0.4480002672205765,-57654.503189515766,2.108108108108108,30.0,48.0,7,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,3,29,-0.47723359382980635,-57640.07456286684,2.1621621621621623,32.0,48.0,6,8
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,7,25,-0.38500079163221357,-57383.830076875005,1.837837837837838,24.0,44.0,6,7
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,2,30,-0.45872398173485973,-57934.579023772785,2.054054054054054,36.0,40.0,4,2
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,5,17,-0.4605069250853945,-56599.65361041192,1.2432432432432432,12.0,34.0,9,10
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,5,26,-0.4027147841215027,-57908.481017718164,2.0,28.0,46.0,5,3
hc,parallelbns/res/networks/alarm,alarm.xbif_,1,15,-1,24,-0.2867414238005255,-57403.82806834273,1.5135135135135136,20.0,36.0,5,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,3,37,-0.4750189824608459,-58361.23582108904,2.5945945945945947,50.0,46.0,5,3
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,29,23,-0.46683355352125344,-57522.92274141751,1.7837837837837838,22.0,44.0,6,5
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,11,21,-0.41394569174045,-57227.914123510964,1.5135135135135136,22.0,34.0,4,2
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,17,18,-0.41758854129566336,-56903.48626626834,1.1891891891891893,8.0,36.0,8,7
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,23,22,-0.47153282607923896,-57635.66244242561,1.3513513513513513,14.0,36.0,7,8
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,13,22,-0.4671453883838648,-57219.657216882915,1.6216216216216217,22.0,38.0,5,2
pges,parallelbns/res/networks/alarm,alarm.xbif_,2,15,19,28,-0.4344461274403222,-57461.865487313975,1.837837837837838,26.0,42.0,8,8
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,7,19,-0.4458658253307478,-57174.23472192553,1.4054054054054055,18.0,34.0,5,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,23,23,-0.43705864714284404,-57300.0881776856,1.6756756756756757,26.0,36.0,6,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,17,22,-0.5091258668639926,-57684.96484462477,1.7837837837837838,26.0,40.0,4,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,19,26,-0.4273719936683881,-57486.04459929592,1.6756756756756757,24.0,38.0,6,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,2,15,29,27,-0.44150777150599796,-57493.43104178431,1.837837837837838,26.0,42.0,4,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,5,19,-0.42246376240892414,-56969.61113008724,1.2972972972972974,14.0,34.0,5,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,11,19,-0.4332086918834261,-56878.82072669118,1.4054054054054055,20.0,32.0,5,2
ges,parallelbns/res/networks/alarm,alarm.xbif_,0,5,-1,64,-0.48108202837351877,-90302.39735391355,3.8378378378378377,4.0,138.0,0,1
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,2,30,-0.5217763472531395,-57819.90149781271,2.0,34.0,40.0,7,5
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,23,23,-0.45624635574230404,-57369.977113542795,1.7837837837837838,30.0,36.0,7,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,3,27,-0.4223689485048033,-57544.59852750426,1.6756756756756757,22.0,40.0,10,7
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,17,26,-0.4751640964064007,-57296.04357303307,1.8918918918918919,28.0,42.0,8,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,2,22,-0.5015253166735129,-56921.01846444117,1.4054054054054055,12.0,40.0,7,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,19,23,-0.4718529534209354,-57676.61360850293,1.6756756756756757,26.0,36.0,9,4
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,13,18,-0.4279878769489459,-57269.03879554164,1.2432432432432432,12.0,34.0,9,5
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,29,23,-0.45695136229719496,-57136.138958425676,1.4594594594594594,22.0,32.0,6,6
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,2,15,7,18,-0.4161607994050183,-56889.584131933494,1.1891891891891893,8.0,36.0,9,6
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,11,23,-0.4430818002565351,-57286.48761266047,1.5135135135135136,20.0,36.0,6,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,17,15,-0.45610961042904297,-56753.221189338874,0.972972972972973,6.0,30.0,8,4
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,7,17,-0.4013736129962224,-56877.91790263329,1.0810810810810811,10.0,30.0,7,5
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,3,17,-0.46090772756990306,-56884.09761127876,1.1891891891891893,10.0,34.0,8,7
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,13,22,-0.39277129468744526,-56995.07023861158,1.3513513513513513,14.0,36.0,8,7
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,5,16,-0.4311351211723285,-56872.71398719763,1.027027027027027,8.0,30.0,9,9
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,19,24,-0.4747351441199629,-57405.35822834913,1.5675675675675675,22.0,36.0,10,6
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,7,27,-0.5121668053747772,-57418.55868036683,1.837837837837838,28.0,40.0,6,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,2,30,-0.4601875399849691,-57591.289683244555,2.0,30.0,44.0,6,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,5,33,-0.4376967843918212,-58134.114977155434,2.324324324324324,40.0,46.0,6,3
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,23,22,-0.5001483913288173,-57125.9931368926,1.4054054054054055,14.0,38.0,8,6
pges,parallelbns/res/networks/alarm,alarm.xbif_,4,5,29,21,-0.5042563669685087,-56976.92753990129,1.4594594594594594,16.0,38.0,8,7
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,13,26,-0.39527387843106115,-57567.00743053797,1.837837837837838,30.0,38.0,6,3
hc,parallelbns/res/networks/alarm,alarm.xbif_,1,5,-1,24,-0.2867414238005255,-57403.82806834273,1.5135135135135136,20.0,36.0,12,6
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,3,36,-0.44065836147363885,-58252.33551056127,2.4864864864864864,44.0,48.0,6,5
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,11,36,-0.4740807603480082,-58400.28598257283,2.4864864864864864,42.0,50.0,6,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,17,24,-0.4256652776073453,-58641.505391209634,1.837837837837838,36.0,32.0,6,3
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,23,28,-0.4597657621205471,-57669.7467901003,1.8918918918918919,26.0,44.0,6,2
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,19,27,-0.45698839317736933,-57775.88940254205,1.837837837837838,26.0,42.0,6,4
phc,parallelbns/res/networks/alarm,alarm.xbif_,4,5,29,24,-0.39413353001434936,-57354.50725628414,1.4054054054054055,16.0,36.0,7,2
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,2,26,-0.4411210661792756,-57258.34050126175,1.5135135135135136,16.0,40.0,6,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,5,24,-0.4427410872955027,-57771.33423675627,1.837837837837838,26.0,42.0,6,3
pfhcbes,parallelbns/res/networks/alarm,alarm.xbif_,4,5,11,36,-0.4740807603480082,-58400.28598257283,2.4864864864864864,42.0,50.0,7,3
