algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,7,101,0.0,-323423.5578129464,5.0,28.0,212.0,5,15
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,11,94,0.0,-322657.41198106663,4.708333333333333,24.0,202.0,6,16
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,13,94,0.0,-322468.61176128977,4.708333333333333,24.0,202.0,5,12
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,17,91,0.0,-320896.07333624276,4.583333333333333,22.0,198.0,5,14
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,19,95,0.0,-322819.1339234494,4.75,24.0,204.0,6,16
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,23,99,0.0,-322641.0403917193,4.875,28.0,206.0,6,14
phc,parallelbns/res/networks/barley,barley.xbif_,2,10,29,99,0.0,-322831.8786521304,4.958333333333333,30.0,208.0,6,15
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,2,99,0.0,-322457.9213536106,4.958333333333333,30.0,208.0,7,16
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,3,95,0.0,-321395.4288418113,4.75,24.0,204.0,5,13
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,5,94,0.0,-322534.5534708475,4.708333333333333,24.0,202.0,9,18
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,7,97,0.0,-321334.78819811146,4.791666666666667,24.0,206.0,5,14
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,11,97,0.0,-324393.33507876657,4.833333333333333,28.0,204.0,5,13
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,13,97,0.0,-322453.2372278134,4.833333333333333,26.0,206.0,6,16
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,17,91,0.0,-320896.07333624276,4.583333333333333,22.0,198.0,5,13
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,19,95,0.0,-322819.1339234494,4.75,24.0,204.0,8,16
ges,parallelbns/res/networks/barley,barley.xbif_,0,15,-1,119,0.0,-349552.4404100705,5.958333333333333,8.0,278.0,0,7
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,23,98,0.0,-323196.8058468411,4.833333333333333,28.0,204.0,8,19
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,10,29,98,0.0,-322432.77279098635,4.875,30.0,204.0,6,16
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,2,91,0.0,-319484.463169602,4.583333333333333,22.0,198.0,4,17
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,5,94,0.0,-319561.18052288075,4.666666666666667,24.0,200.0,5,20
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,3,94,0.0,-319828.1942644735,4.666666666666667,24.0,200.0,7,25
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,7,92,0.0,-320986.79375465773,4.625,26.0,196.0,6,23
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,13,91,0.0,-319475.3558636568,4.541666666666667,22.0,196.0,6,21
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,11,89,0.0,-320499.3007686568,4.458333333333333,20.0,194.0,7,27
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,17,93,0.0,-319431.5922515263,4.625,20.0,202.0,5,20
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,19,92,0.0,-319926.2226596949,4.625,26.0,196.0,4,18
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,23,97,0.0,-321956.62749118503,4.833333333333333,24.0,208.0,6,22
pges,parallelbns/res/networks/barley,barley.xbif_,2,15,29,96,0.0,-321231.4444672617,4.75,26.0,202.0,4,17
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,2,94,0.0,-322556.48307214055,4.75,26.0,202.0,4,14
hc,parallelbns/res/networks/barley,barley.xbif_,1,15,-1,92,0.0,-321183.61167578876,4.583333333333333,24.0,196.0,5,23
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,3,98,0.0,-322996.5602521712,4.916666666666667,30.0,206.0,4,13
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,5,96,0.0,-322723.6952269035,4.791666666666667,24.0,206.0,4,13
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,7,102,0.0,-324476.14533673046,5.083333333333333,34.0,210.0,4,15
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,11,96,0.0,-323180.4445643845,4.791666666666667,26.0,204.0,4,19
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,13,94,0.0,-322057.50156204356,4.708333333333333,24.0,202.0,4,13
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,17,92,0.0,-321354.0784737951,4.625,22.0,200.0,4,13
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,19,97,0.0,-322653.33121488744,4.833333333333333,26.0,206.0,4,15
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,23,97,0.0,-323116.2056560088,4.791666666666667,26.0,204.0,4,14
phc,parallelbns/res/networks/barley,barley.xbif_,2,15,29,97,0.0,-322381.36193958187,4.875,28.0,206.0,5,13
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,2,98,0.0,-323039.4645007176,4.916666666666667,30.0,206.0,4,12
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,3,100,0.0,-324023.81231452676,5.0,32.0,208.0,5,15
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,5,98,0.0,-323741.02234157344,4.875,26.0,208.0,4,14
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,7,102,0.0,-324694.0208763033,5.083333333333333,34.0,210.0,5,15
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,13,98,0.0,-322540.48299062066,4.875,28.0,206.0,4,14
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,11,96,0.0,-323180.4445643845,4.791666666666667,26.0,204.0,4,19
pfhcbes,parallelbns/res/networks/barley,barley.xbif_,2,15,17,95,0.0,-321997.8635213436,4.75,24.0,204.0,4,14
