algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,23,86,-0.4809157073927842,-165688.8687342956,4.085714285714285,0.0,286.0,7,9
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,2,94,-0.48028870120948497,-165946.9317576713,4.428571428571429,18.0,292.0,6,5
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,29,85,-0.487563614345013,-165697.74204268854,4.0,2.0,278.0,7,10
hc,parallelbns/res/networks/hepar2,hepar2.xbif_,1,10,-1,90,-0.46837613358390096,-165760.99537522817,4.2,4.0,290.0,8,10
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,5,90,-0.4762207470646343,-165856.77356807396,4.114285714285714,10.0,278.0,6,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,3,88,-0.4880149831545907,-165880.3915876834,4.0285714285714285,10.0,272.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,7,90,-0.46964151722764463,-165831.34920384307,4.2,12.0,282.0,5,4
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,11,91,-0.48203934734173615,-165822.2388572613,4.314285714285714,10.0,292.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,13,93,-0.48545176974850374,-165972.9326357647,4.314285714285714,20.0,282.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,17,93,-0.43947621815138305,-166010.30913968213,4.4,14.0,294.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,19,91,-0.4727036008245716,-165885.77467970556,4.085714285714285,14.0,272.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,23,93,-0.48204123203388666,-165925.11023348823,4.314285714285714,14.0,288.0,6,5
phc,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,29,85,-0.47681332872428595,-165746.86305382158,3.942857142857143,6.0,270.0,6,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,2,94,-0.48028870120948497,-165946.9317576713,4.428571428571429,18.0,292.0,6,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,3,87,-0.48210472723648395,-165879.66224318897,4.0,10.0,270.0,7,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,5,89,-0.489593100174534,-165820.0336683586,4.057142857142857,6.0,278.0,6,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,7,90,-0.4465636214730951,-165887.7741650082,4.2,14.0,280.0,6,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,11,91,-0.4597206547880524,-165833.0512125862,4.314285714285714,12.0,290.0,7,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,13,92,-0.4932661393556312,-165946.79633794745,4.257142857142857,16.0,282.0,6,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,17,90,-0.4655888777406314,-165915.89913341898,4.114285714285714,6.0,282.0,7,7
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,19,91,-0.4727036008245716,-165885.77467970556,4.085714285714285,14.0,272.0,7,5
ges,parallelbns/res/networks/hepar2,hepar2.xbif_,0,15,-1,141,-0.4789857958428862,-168721.06021797188,6.085714285714285,0.0,426.0,0,2
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,23,93,-0.48204123203388666,-165925.11023348823,4.314285714285714,14.0,288.0,6,5
pfhcbes,parallelbns/res/networks/hepar2,hepar2.xbif_,2,10,29,89,-0.46158814799595904,-165715.7394555259,4.085714285714285,4.0,282.0,8,6
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,2,85,-0.4879481782868662,-165736.02007945985,4.0,0.0,280.0,8,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,3,91,-0.47189236067669466,-165783.92295560255,4.285714285714286,6.0,294.0,5,9
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,7,93,-0.48901381385251513,-165843.01727220605,4.4,14.0,294.0,7,10
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,5,87,-0.48630696284048297,-165732.06939458504,4.142857142857143,2.0,288.0,6,11
pges,parallelbns/res/networks/hepar2,hepar2.xbif_,2,15,11,87,-0.47885828859730667,-165768.66969269593,4.0,2.0,278.0,8,10
