algorith, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/cancer,cancer.xbif50001_,2,5,11,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,5,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,5,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,5,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,5,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,5,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,3,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
