algorith, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/cancer,cancer.xbif50001_,4,5,3,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,5,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,11,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,11,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,17,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,17,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,4,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,4,5,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,4,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,3,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,3,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,5,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,11,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,11,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,19,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,19,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,6,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,6,5,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,6,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,3,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,3,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,5,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,11,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,11,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,19,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,19,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,23,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,8,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,8,5,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,8,5,29,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
ges,res/networks/cancer,cancer.xbif50001_,0,10,-1,2,-0.42427858027531834,-10599.609907506512,0.8,0.0,4.0,0,0
hc,res/networks/cancer,cancer.xbif50001_,1,10,-1,2,-0.42427858027531834,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,5,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,5,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,5,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,13,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,13,2,-0.3248116464613658,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,19,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,23,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,1,10,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,1,10,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,1,10,29,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,2,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,2,2,-0.32481164646136584,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,3,3,-0.42275710462869365,-10608.54213856954,1.2,2.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,3,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,3,3,-0.42275710462869365,-10608.54213856954,1.2,2.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,5,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,5,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,7,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,7,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,11,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,11,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,11,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,13,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,13,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pfhcbes,res/networks/cancer,cancer.xbif50001_,2,10,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
pges,res/networks/cancer,cancer.xbif50001_,2,10,17,2,-0.4227239142876805,-10599.609907506512,0.8,0.0,4.0,2,0
phc,res/networks/cancer,cancer.xbif50001_,2,10,17,2,-0.30249128132878733,-10599.609907506512,0.8,0.0,4.0,2,0
