algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50003_,2,2,10,-1,9,-0.4280581015985421,-53542.08933097296,22.0,4.0,18.0,6,2.169
pges-jc,alarm,alarm.xbif50003_,2,2,15,-1,7,-0.42008957799217583,-53485.5689463421,14.0,0.0,14.0,5,2.172
pges-jc,alarm,alarm.xbif50003_,2,2,5,-1,9,-0.4280581015985421,-53542.08933097296,22.0,4.0,18.0,9,2.248
pges-jc,alarm,alarm.xbif50003_,4,4,10,-1,12,-0.42264930358629743,-53648.482637845074,30.0,10.0,20.0,5,1.415
pges-jc,alarm,alarm.xbif50003_,4,4,15,-1,11,-0.4134007670703381,-53523.87041835627,22.0,4.0,18.0,4,1.268
pges-jc,alarm,alarm.xbif50003_,4,4,5,-1,10,-0.42901510719663405,-53647.63377277411,22.0,6.0,16.0,7,1.442
pges-jc,alarm,alarm.xbif50003_,8,8,10,-1,12,-0.42264930358629743,-53648.482637845074,30.0,10.0,20.0,4,1.068
pges-jc,alarm,alarm.xbif50003_,8,8,15,-1,7,-0.4134111409787481,-53485.5689463421,14.0,0.0,14.0,4,0.936
pges-jc,alarm,alarm.xbif50003_,8,8,5,-1,19,-0.43816751797021347,-54066.65983735983,42.0,18.0,24.0,8,1.274
pges-jc,alarm,alarm.xbif50004_,16,16,10,-1,11,-0.4199272063038021,-53796.195695992305,22.0,4.0,18.0,4,1.068
pges-jc,alarm,alarm.xbif50004_,16,16,15,-1,11,-0.43727983569773726,-54098.04323751782,22.0,6.0,16.0,4,1.19
pges-jc,alarm,alarm.xbif50004_,16,16,5,-1,10,-0.43007080130248115,-53911.876299115116,24.0,8.0,16.0,6,1.228
pges-jc,alarm,alarm.xbif50004_,2,2,10,-1,7,-0.43456333716484624,-53798.5832475639,14.0,0.0,14.0,7,2.11
pges-jc,alarm,alarm.xbif50004_,2,2,15,-1,7,-0.42008957799217583,-53778.532213361286,14.0,0.0,14.0,4,1.882
pges-jc,alarm,alarm.xbif50004_,2,2,5,-1,10,-0.4349325970988005,-53923.686850847225,24.0,8.0,16.0,8,2.338
pges-jc,alarm,alarm.xbif50004_,4,4,10,-1,8,-0.4201058943122604,-53785.57070035587,16.0,0.0,16.0,5,1.475
pges-jc,alarm,alarm.xbif50004_,4,4,15,-1,7,-0.42169458372043894,-53778.532213361286,14.0,0.0,14.0,4,1.983
pges-jc,alarm,alarm.xbif50004_,4,4,5,-1,10,-0.4349325970988005,-53923.686850847225,24.0,8.0,16.0,7,1.757
