algorith, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
pfhcbes,res/networks/child,child.xbif50001_,4,5,11,8,-0.6176501105095225,-64015.038659793485,1.0,10.0,10.0,6,0
pges,res/networks/child,child.xbif50001_,4,5,11,7,-0.5573389864740556,-63933.149318917436,0.8,8.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,4,5,11,4,-0.5932199216818774,-63476.38236490561,0.5,4.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,13,8,-0.7099251562381511,-63660.06533682114,1.0,10.0,10.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,13,10,-0.6681494386192445,-64093.70807656498,1.3,16.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,4,5,13,8,-0.5908951906723141,-63660.06533682114,1.0,10.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,17,3,-0.6824936952073652,-62755.86294911354,0.3,2.0,4.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,17,5,-0.6736106425793317,-62786.041789348805,0.6,4.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,4,5,17,3,-0.6160620968654372,-62755.86294911354,0.3,2.0,4.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,19,11,-0.6860209997090337,-64237.12858484444,1.6,18.0,14.0,5,0
pges,res/networks/child,child.xbif50001_,4,5,19,3,-0.7190486961700292,-62742.155493838705,0.4,4.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,19,7,-0.6263795859219854,-63326.21832165153,1.0,10.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,23,4,-0.6155695606400393,-62706.180709035,0.4,2.0,6.0,6,0
pges,res/networks/child,child.xbif50001_,4,5,23,2,-0.5948809133731047,-62656.96605659265,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,23,12,-0.5479366728146337,-64158.02714746448,1.5,20.0,10.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,4,5,29,10,-0.7031194207132894,-63314.39088880067,1.4,14.0,14.0,4,0
pges,res/networks/child,child.xbif50001_,4,5,29,2,-0.6039655918238831,-62656.96605659266,0.2,0.0,4.0,6,0
phc,res/networks/child,child.xbif50001_,4,5,29,10,-0.7031194207132894,-63314.39088880067,1.4,14.0,14.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,2,7,-0.661302280168458,-63554.006262081064,1.0,14.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,2,8,-0.5530943185974044,-63620.588089997014,0.8,8.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,6,5,2,7,-0.661302280168458,-63554.006262081064,1.0,14.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,3,6,-0.6839141931940642,-63043.15415685939,0.8,10.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,3,5,-0.6250964341117883,-63038.31608604869,0.6,4.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,6,5,3,6,-0.6839141931940642,-63043.15415685939,0.8,10.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,5,11,-0.7281558749541588,-64298.20296545402,1.3,18.0,8.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,5,4,-0.6641974840158387,-62707.20657940078,0.4,0.0,8.0,5,0
phc,res/networks/child,child.xbif50001_,6,5,5,7,-0.6237219282289864,-64158.688943824185,0.7,8.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,7,8,-0.7077101239705809,-63567.851044679664,1.1,10.0,12.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,7,6,-0.5801738123370185,-63692.99773646504,0.7,4.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,6,5,7,7,-0.7223885413001649,-64089.107085957854,1.1,16.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,11,2,-0.6464459043012447,-62873.02112027142,0.2,0.0,4.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,11,7,-0.7255897834789644,-63790.86875862014,0.8,8.0,8.0,4,0
phc,res/networks/child,child.xbif50001_,6,5,11,2,-0.6504607700660445,-62873.02112027142,0.2,0.0,4.0,5,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,13,4,-0.6290852038282548,-63476.38236490563,0.5,4.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,13,5,-0.6463301281772191,-63741.65410617782,0.6,6.0,6.0,4,0
phc,res/networks/child,child.xbif50001_,6,5,13,4,-0.6290852038282548,-63476.38236490563,0.5,4.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,17,6,-0.6232813496572673,-63822.053545788614,0.8,10.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,17,8,-0.6903163710493883,-63970.53312477406,1.0,10.0,10.0,4,0
phc,res/networks/child,child.xbif50001_,6,5,17,6,-0.6232813496572673,-63822.053545788614,0.8,10.0,6.0,4,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,19,9,-0.5246493779115868,-63603.62395773877,1.2,16.0,8.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,19,8,-0.5819306703744606,-64249.27436011963,1.0,10.0,10.0,5,0
phc,res/networks/child,child.xbif50001_,6,5,19,5,-0.6376691613798916,-63736.86410854256,0.6,6.0,6.0,3,0
pfhcbes,res/networks/child,child.xbif50001_,6,5,23,5,-0.5071537108187252,-63472.47654503377,0.5,4.0,6.0,4,0
pges,res/networks/child,child.xbif50001_,6,5,23,4,-0.5792383095877909,-62707.20657940078,0.4,0.0,8.0,5,0
