algorithm, network, bbdd, thread, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, Total iterations, Total time(s)
phc,res/networks/insurance,insurance.xbif50001_,2,5,7,36,-0.5678195443067984,-72708.87780214362,3.4074074074074074,26.0,66.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,11,33,-0.5751234377001588,-71307.60839023987,2.6666666666666665,8.0,64.0,8,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,11,29,-0.5775698022625861,-70546.73695069688,2.3703703703703702,2.0,62.0,10,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,11,35,-0.576302488390674,-71312.05970920098,2.814814814814815,10.0,66.0,6,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,13,39,-0.5527450102105006,-72348.21022952709,3.185185185185185,18.0,68.0,8,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,13,30,-0.5215061495871173,-70831.88905356493,2.5185185185185186,6.0,62.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,13,42,-0.4826467266010796,-72552.54412972563,3.5555555555555554,26.0,70.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,17,33,-0.4518489987568287,-71563.7980496527,3.037037037037037,8.0,74.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,17,32,-0.621296952827637,-70573.91132552225,2.6666666666666665,2.0,70.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,17,34,-0.6000162777283108,-71580.9635411223,3.259259259259259,12.0,76.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,19,31,-0.6105535976103817,-71622.36128809757,2.740740740740741,10.0,64.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,19,27,-0.5403858250466622,-70683.99990509759,2.2222222222222223,0.0,60.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,19,31,-0.6105535976103817,-71622.36128809757,2.740740740740741,10.0,64.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,23,30,-0.49481003011395663,-71322.85755703843,2.5185185185185186,6.0,62.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,23,35,-0.5551223464170926,-71272.7043661314,2.888888888888889,10.0,68.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,23,29,-0.4988997579019384,-71689.15062784389,2.5925925925925926,14.0,56.0,8,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,2,5,29,38,-0.561880440339628,-72211.90162332164,3.3333333333333335,16.0,74.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,2,5,29,27,-0.5502983593420564,-70774.92750295714,2.2222222222222223,2.0,58.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,2,5,29,38,-0.6001516732090548,-72840.10246457273,3.6296296296296298,22.0,76.0,7,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,2,38,-0.5491537963077128,-71610.48818783514,3.185185185185185,18.0,68.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,2,34,-0.5214846482291056,-72722.99708618622,3.111111111111111,12.0,72.0,9,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,2,38,-0.5208379390875182,-71610.48818783514,3.185185185185185,18.0,68.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,3,43,-0.5710778843297143,-73015.93070912972,3.8518518518518516,28.0,76.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,3,37,-0.6203070863794818,-71900.07851935663,3.3333333333333335,18.0,72.0,6,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,3,43,-0.6669707732356486,-72760.73118817071,3.8518518518518516,24.0,80.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,5,35,-0.5997502339107336,-71609.18978875387,2.888888888888889,10.0,68.0,7,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,5,38,-0.5584745426339669,-72839.472794626,3.259259259259259,20.0,68.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,5,40,-0.642931893623354,-72988.15148143958,3.3333333333333335,18.0,72.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,7,33,-0.6863472177168556,-71785.10362270473,2.740740740740741,6.0,68.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,7,38,-0.5742682200631074,-72762.97393175402,3.4814814814814814,18.0,76.0,6,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,7,33,-0.6863472177168556,-71785.10362270473,2.740740740740741,6.0,68.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,11,35,-0.5366188555866714,-72361.13154172903,3.3333333333333335,16.0,74.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,11,34,-0.5818098687104398,-71673.20174355083,3.111111111111111,10.0,74.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,11,35,-0.5366188555866714,-72361.13154172903,3.3333333333333335,16.0,74.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,13,34,-0.6690676873820365,-71147.94302975998,3.111111111111111,18.0,66.0,6,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,13,38,-0.5345474503757083,-71737.93865659455,3.185185185185185,18.0,68.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,13,34,-0.6690676873820365,-71147.94302975998,3.111111111111111,18.0,66.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,17,37,-0.5528652030380292,-71796.25801479281,3.4074074074074074,16.0,76.0,6,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,17,35,-0.6163171691432118,-71801.853525544,2.962962962962963,14.0,66.0,6,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,17,36,-0.5744998884354662,-71779.56129328653,3.259259259259259,12.0,76.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,19,34,-0.5819356392787643,-71881.9134725314,2.888888888888889,14.0,64.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,19,40,-0.6075766834767217,-72239.3122219177,3.4074074074074074,20.0,72.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,19,35,-0.626426995413577,-72422.13964001095,2.814814814814815,8.0,68.0,6,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,23,30,-0.6380520053153058,-71551.78658381545,2.5185185185185186,4.0,64.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,23,43,-0.6276065504028053,-72412.79168012834,3.5555555555555554,22.0,74.0,6,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,23,35,-0.6928905485923825,-72615.88797186941,3.259259259259259,18.0,70.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,4,5,29,42,-0.6313995885281126,-72570.12759390737,3.4074074074074074,18.0,74.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,4,5,29,36,-0.5794771476133725,-72046.74488527299,2.962962962962963,14.0,66.0,8,0
phc,res/networks/insurance,insurance.xbif50001_,4,5,29,43,-0.6397024205973928,-72752.19484521424,3.5555555555555554,22.0,74.0,6,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,6,5,2,42,-0.6744625386836063,-72788.76242809092,3.4074074074074074,22.0,70.0,4,0
pges,res/networks/insurance,insurance.xbif50001_,6,5,2,31,-0.4810869462229799,-71097.85143323183,2.5925925925925926,6.0,64.0,7,0
phc,res/networks/insurance,insurance.xbif50001_,6,5,2,43,-0.559748350856092,-72418.65837456161,4.0,28.0,80.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,6,5,3,36,-0.6197393286064714,-72296.27433659407,3.037037037037037,14.0,68.0,4,0
pges,res/networks/insurance,insurance.xbif50001_,6,5,3,32,-0.6451303370607412,-70989.6073033368,2.6666666666666665,8.0,64.0,6,0
phc,res/networks/insurance,insurance.xbif50001_,6,5,3,35,-0.5617422431113753,-72719.83462238232,2.888888888888889,14.0,64.0,5,0
pfhcbes,res/networks/insurance,insurance.xbif50001_,6,5,5,34,-0.547909460449422,-71813.15752236979,2.962962962962963,16.0,64.0,5,0
pges,res/networks/insurance,insurance.xbif50001_,6,5,5,43,-0.5995492931328846,-72736.63198643793,4.222222222222222,36.0,78.0,5,0
phc,res/networks/insurance,insurance.xbif50001_,6,5,5,30,-0.5717587002541186,-71562.63202409461,2.5185185185185186,8.0,60.0,4,0
