SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
39,-112170.5610087844,2.054054054054054,30.0,46.0,6.0,6,alarm,pges,10,4,15
42,-111929.43506686926,2.27027027027027,46.0,38.0,5.0,18,alarm,pges,10,8,10
14,-528735.1588708654,0.5945945945945946,6.0,16.0,12.0,14,alarm,pges,50,4,5
22,-110550.4709565448,1.027027027027027,18.0,20.0,10.0,5,alarm,pges,10,2,10
16,-110303.68915752182,0.7567567567567568,8.0,20.0,9.0,4,alarm,pges,10,2,5
12,-528997.6930177516,0.4864864864864865,4.0,14.0,9.0,11,alarm,pges,50,4,10
15,-529645.7443894242,0.7567567567567568,14.0,14.0,6.0,5,alarm,pges,50,6,15
12,-529601.2157366276,0.3783783783783784,2.0,12.0,10.0,14,alarm,pges,50,2,15
18,-532552.3671571149,1.351351351351351,32.0,18.0,6.0,8,alarm,pges,50,8,15
27,-111269.21175589676,1.6216216216216215,26.0,34.0,6.0,16,alarm,pges,10,8,5
6,-529366.8021612335,0.4324324324324325,6.0,10.0,7.0,13,alarm,pges,50,6,10
31,-532077.3990863812,2.108108108108108,60.0,18.0,7.0,14,alarm,pges,50,4,15
31,-111619.9330379506,1.8378378378378382,32.0,36.0,7.0,5,alarm,pges,10,6,5
25,-532478.2416045768,1.7837837837837838,46.0,20.0,5.0,7,alarm,pges,50,8,10
21,-529062.1788701018,0.8108108108108109,14.0,16.0,10.0,14,alarm,pges,50,2,10
29,-110893.75535528413,1.2432432432432432,24.0,22.0,9.0,4,alarm,pges,10,4,5
12,-529528.8109538496,0.5405405405405406,10.0,10.0,10.0,10,alarm,pfhcbes,50,2,5
31,-111144.44605333798,1.6216216216216215,26.0,34.0,8.0,4,alarm,pfhcbes,10,4,10
28,-110364.36301587301,1.6216216216216215,24.0,36.0,6.0,6,alarm,pfhcbes,10,6,15
34,-111351.58154541822,1.351351351351351,18.0,32.0,8.0,4,alarm,pfhcbes,10,2,15
46,-111394.52601852754,2.054054054054054,40.0,36.0,5.0,18,alarm,pfhcbes,10,8,15
43,-535075.3375918438,2.216216216216216,66.0,16.0,6.0,4,alarm,pfhcbes,50,8,5
19,-529820.7020689679,0.9189189189189191,18.0,16.0,7.0,10,alarm,pfhcbes,50,6,5
35,-112087.44791387756,1.891891891891892,40.0,30.0,4.0,5,alarm,pfhcbes,10,6,10
28,-110994.61278930288,1.5675675675675675,26.0,32.0,4.0,4,alarm,pfhcbes,10,4,15
48,-111719.20709140095,2.216216216216216,46.0,36.0,5.0,16,alarm,pfhcbes,10,8,10
29,-530322.8608312565,1.4594594594594594,36.0,18.0,8.0,13,alarm,pfhcbes,50,4,5
32,-111532.40499290166,1.5135135135135136,36.0,20.0,8.0,5,alarm,pfhcbes,10,2,10
19,-110236.9207791227,1.027027027027027,10.0,28.0,10.0,4,alarm,pfhcbes,10,2,5
16,-530812.6246233695,0.7567567567567568,18.0,10.0,7.0,4,alarm,pfhcbes,50,4,10
27,-532946.1020463707,1.891891891891892,50.0,20.0,5.0,6,alarm,pfhcbes,50,6,15
33,-530152.6235170151,0.8648648648648649,18.0,14.0,10.0,7,alarm,pfhcbes,50,2,15
46,-533571.5761376657,2.27027027027027,60.0,24.0,5.0,6,alarm,pfhcbes,50,8,15
34,-111694.78699699826,1.8378378378378382,32.0,36.0,6.0,16,alarm,pfhcbes,10,8,5
18,-529965.321316505,1.027027027027027,24.0,14.0,6.0,7,alarm,pfhcbes,50,6,10
35,-533384.5627085716,1.7297297297297298,42.0,22.0,6.0,4,alarm,pfhcbes,50,4,15
40,-111435.07111092893,1.945945945945946,34.0,38.0,5.0,4,alarm,pfhcbes,10,6,5
25,-530745.396726394,0.972972972972973,22.0,14.0,7.0,6,alarm,pfhcbes,50,8,10
24,-531817.9025088415,1.027027027027027,18.0,20.0,12.0,14,alarm,pfhcbes,50,2,10
53,-112455.15819885848,2.4324324324324325,46.0,44.0,8.0,4,alarm,pfhcbes,10,4,5
