algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
fges,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.678
fges,alarm,alarm.xbif50004_,16,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.683
fges,alarm,alarm.xbif50004_,1,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.75
fges,alarm,alarm.xbif50004_,1,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.676
fges,alarm,alarm.xbif50004_,2,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,1.962
fges,alarm,alarm.xbif50004_,2,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.729
fges,alarm,alarm.xbif50004_,4,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.736
fges,alarm,alarm.xbif50004_,4,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.762
fges,alarm,alarm.xbif50004_,8,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.82
fges,alarm,alarm.xbif50004_,8,-1,-1,2,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,0.689
fges,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.954
fges,alarm,alarm.xbif50005_,16,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.967
fges,alarm,alarm.xbif50005_,1,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.055
fges,alarm,alarm.xbif50005_,1,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.97
fges,alarm,alarm.xbif50005_,2,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,2.193
fges,alarm,alarm.xbif50005_,2,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.958
fges,alarm,alarm.xbif50005_,4,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.157
fges,alarm,alarm.xbif50005_,4,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.337
fges,alarm,alarm.xbif50005_,8,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.079
fges,alarm,alarm.xbif50005_,8,-1,-1,2,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,0.967
fges,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.055
fges,alarm,alarm.xbif50006_,16,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.032
fges,alarm,alarm.xbif50006_,1,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.685
fges,alarm,alarm.xbif50006_,1,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.079
fges,alarm,alarm.xbif50006_,2,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,2.228
fges,alarm,alarm.xbif50006_,2,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.015
fges,alarm,alarm.xbif50006_,4,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.205
fges,alarm,alarm.xbif50006_,4,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.044
fges,alarm,alarm.xbif50006_,8,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.148
fges,alarm,alarm.xbif50006_,8,-1,-1,2,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.052
fges,alarm,alarm.xbif50007_,16,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.931
fges,alarm,alarm.xbif50007_,16,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.947
fges,alarm,alarm.xbif50007_,1,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.158
fges,alarm,alarm.xbif50007_,1,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.914
fges,alarm,alarm.xbif50007_,2,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.446
fges,alarm,alarm.xbif50007_,2,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.918
fges,alarm,alarm.xbif50007_,4,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.134
fges,alarm,alarm.xbif50007_,4,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.988
fges,alarm,alarm.xbif50007_,8,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.974
fges,alarm,alarm.xbif50007_,8,-1,-1,2,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,0.943
fges,alarm,alarm.xbif50008_,16,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.819
fges,alarm,alarm.xbif50008_,16,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.768
fges,alarm,alarm.xbif50008_,1,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.966
fges,alarm,alarm.xbif50008_,1,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.79
fges,alarm,alarm.xbif50008_,2,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,1.888
fges,alarm,alarm.xbif50008_,2,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.766
fges,alarm,alarm.xbif50008_,4,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.875
fges,alarm,alarm.xbif50008_,4,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.773
fges,alarm,alarm.xbif50008_,8,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.826
fges,alarm,alarm.xbif50008_,8,-1,-1,2,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,0.813
fges,alarm,alarm.xbif50009_,16,0,0,-1,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.782
fges,alarm,alarm.xbif50009_,16,-1,-1,2,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.734
fges,alarm,alarm.xbif50009_,1,0,0,-1,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.849
fges,alarm,alarm.xbif50009_,1,-1,-1,2,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.729
fges,alarm,alarm.xbif50009_,2,0,0,-1,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,2.051
fges,alarm,alarm.xbif50009_,2,-1,-1,2,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.707
fges,alarm,alarm.xbif50009_,4,0,0,-1,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,1.342
fges,alarm,alarm.xbif50009_,4,-1,-1,2,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,0.733
