algorithm, network, bbdd, threads, interleaving, seed, SHD, LL Score, BDeu Score, dfMM, dfMM plus, dfMM minus, Total iterations, Total time(s)
PGESwithStages,res/alarm,alarm.xbif50001246_,4,10,3,27,-0.5221215852174426,-58135.85345759677,70.0,24.0,46.0,5,3.386
PGESwithStages,res/alarm,alarm.xbif50001246_,4,10,5,26,-0.4840805808154041,-58412.26353321259,64.0,26.0,38.0,7,5.88
PGESwithStages,res/alarm,alarm.xbif50001246_,4,10,7,30,-0.47906499775012784,-57457.562433025734,76.0,32.0,44.0,7,7.007
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,11,16,-0.43421574617049735,-57375.74732357253,40.0,10.0,30.0,6,4.968
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,13,27,-0.4650312179103403,-58200.92801186588,68.0,28.0,40.0,4,4.545
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,17,27,-0.51003242223705,-58034.86543376186,66.0,24.0,42.0,9,8.377
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,19,21,-0.44693063742203454,-57360.53560737576,52.0,16.0,36.0,5,4.133
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,2,19,-0.4543389318382,-57874.6183789538,48.0,18.0,30.0,5,6.165
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,23,25,-0.4718887051100401,-57169.51581675968,60.0,20.0,40.0,6,5.174
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,29,23,-0.5129285224690528,-57955.97432639459,60.0,20.0,40.0,6,5.071
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,3,33,-0.4311216846479956,-58209.130712529026,90.0,34.0,56.0,6,3.781
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,5,23,-0.40401821581576064,-58070.30464661476,56.0,20.0,36.0,6,6.27
PGESwithStages,res/alarm,alarm.xbif50001246_,4,15,7,17,-0.39814114455423405,-57132.896576622756,46.0,12.0,34.0,7,7.456
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,11,20,-0.4967688340014819,-57422.28590109304,48.0,14.0,34.0,8,4.28
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,13,23,-0.40113133373594206,-57319.451885644434,56.0,20.0,36.0,8,5.229
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,17,24,-0.3583290096168158,-57738.031530313536,56.0,20.0,36.0,8,4.495
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,19,15,-0.4187370350493181,-56918.34531820268,40.0,10.0,30.0,9,4.186
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,2,20,-0.5148836762379625,-57388.951666191555,50.0,14.0,36.0,8,3.461
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,23,18,-0.4808960561360817,-57117.32431640624,46.0,14.0,32.0,9,5.478
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,29,20,-0.47166066184318745,-57178.992397818736,50.0,14.0,36.0,6,2.971
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,3,18,-0.38516121010097504,-57121.33370452299,40.0,8.0,32.0,7,3.691
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,5,25,-0.5062526967970855,-58281.03330600658,64.0,24.0,40.0,9,4.572
PGESwithStages,res/alarm,alarm.xbif50001246_,4,5,7,22,-0.4212590930304624,-57170.5182193645,54.0,16.0,38.0,6,2.867
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,11,20,-0.5047558309680904,-57138.794770788576,48.0,12.0,36.0,5,2.862
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,13,17,-0.42384082843531623,-57243.003112384584,44.0,12.0,32.0,6,3.822
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,17,22,-0.4608678750837624,-57548.08296731505,56.0,18.0,38.0,5,3.588
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,19,20,-0.42299730708663513,-57439.51369470153,46.0,12.0,34.0,5,3.843
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,2,22,-0.4119151229242529,-57567.83144764447,54.0,16.0,38.0,5,3.261
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,23,22,-0.40249518983002125,-57537.72593050349,58.0,18.0,40.0,5,3.939
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,29,27,-0.4942977330703821,-57980.149509219314,68.0,30.0,38.0,6,4.801
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,3,23,-0.42500196832001985,-57990.94772553951,56.0,20.0,36.0,6,5.224
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,5,20,-0.4611565176659494,-57439.51369470152,46.0,12.0,34.0,5,3.428
PGESwithStages,res/alarm,alarm.xbif50001246_,6,10,7,20,-0.43179349430029035,-57218.69385523432,48.0,12.0,36.0,5,2.999
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,11,24,-0.47818818808531177,-57605.922096564165,56.0,20.0,36.0,6,5.081
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,13,24,-0.4222503254245635,-58528.051999832365,62.0,22.0,40.0,6,5.843
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,17,23,-0.47024856168008095,-57587.44110991783,58.0,22.0,36.0,5,5.276
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,19,27,-0.4719525422977196,-58290.19327169951,60.0,24.0,36.0,6,5.852
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,2,29,-0.41632557173399043,-57883.69394601388,74.0,38.0,36.0,6,5.695
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,23,26,-0.47496411246103326,-58388.86817080115,66.0,30.0,36.0,6,6.375
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,29,25,-0.3995846123638701,-57944.356596143974,60.0,22.0,38.0,6,4.985
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,3,20,-0.42475668785775955,-57736.11396504328,48.0,18.0,30.0,5,4.646
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,5,16,-0.3804686060429942,-57418.89454595208,38.0,8.0,30.0,6,5.669
PGESwithStages,res/alarm,alarm.xbif50001246_,6,15,7,20,-0.39785578427353036,-57569.652684211294,50.0,16.0,34.0,6,5.769
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,11,26,-0.45224438537762013,-58092.19406679573,72.0,34.0,38.0,9,5.801
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,13,20,-0.3682650495963303,-57169.97348105978,48.0,12.0,36.0,6,3.04
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,17,16,-0.4342144768787597,-56928.51581106855,36.0,6.0,30.0,5,2.669
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,19,20,-0.4707496145824381,-57129.941542066495,50.0,14.0,36.0,5,2.983
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,2,26,-0.48799174512269994,-57939.07510709178,62.0,26.0,36.0,6,3.76
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,23,17,-0.3840427504245837,-57424.92490262162,44.0,12.0,32.0,6,3.182
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,29,25,-0.4910546705336303,-57659.567626407785,62.0,22.0,40.0,7,3.699
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,3,25,-0.39004760854880166,-57964.63445600209,64.0,28.0,36.0,6,3.62
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,5,20,-0.4384268934231529,-57116.95395945443,50.0,16.0,34.0,7,3.219
PGESwithStages,res/alarm,alarm.xbif50001246_,6,5,7,24,-0.4237256155904722,-57657.98548985027,62.0,26.0,36.0,7,4.294
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,11,24,-0.435076795287307,-57598.93932708917,56.0,16.0,40.0,7,6.395
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,13,23,-0.46788897674193153,-57776.508474971146,56.0,18.0,38.0,6,6.572
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,17,21,-0.37971010388222004,-57656.90349687886,52.0,16.0,36.0,5,5.906
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,19,26,-0.47840274047664466,-58072.124881739386,66.0,32.0,34.0,5,5.221
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,2,26,-0.4713371555929571,-58548.098854113196,64.0,20.0,44.0,5,4.756
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,23,20,-0.3715517078333128,-57739.77463735556,46.0,12.0,34.0,5,6.059
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,29,26,-0.4026139430164539,-57849.62197957812,64.0,24.0,40.0,6,5.903
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,3,23,-0.4796262028404153,-57497.725330313086,56.0,14.0,42.0,5,5.219
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,5,21,-0.4198123117151645,-57663.6159887329,58.0,16.0,42.0,6,7.186
PGESwithStages,res/alarm,alarm.xbif50001246_,8,10,7,19,-0.3951305360973838,-57185.55140054654,46.0,12.0,34.0,5,5.305
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,11,16,-0.4567457799438669,-57193.92714904617,40.0,10.0,30.0,6,7.749
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,13,32,-0.41806525759803825,-58512.289554834075,82.0,40.0,42.0,5,8.761
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,17,17,-0.4957415905656956,-57463.22108114072,42.0,14.0,28.0,5,8.834
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,19,27,-0.45701179957745086,-58642.545450048194,64.0,28.0,36.0,5,6.553
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,2,21,-0.4163692987826356,-57499.95057278796,50.0,16.0,34.0,5,7.333
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,23,19,-0.45770309569468953,-57627.56054678545,52.0,18.0,34.0,5,9.499
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,29,31,-0.4757492864664757,-58574.1502413912,82.0,40.0,42.0,7,9.798
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,3,25,-0.47266727366770117,-57415.83048278673,54.0,16.0,38.0,8,11.497
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,5,27,-0.46905939014858306,-58126.272109074795,70.0,26.0,44.0,5,8.299
PGESwithStages,res/alarm,alarm.xbif50001246_,8,15,7,30,-0.464435250007398,-58357.41709457178,70.0,32.0,38.0,6,8.118
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,11,27,-0.45941645034717027,-58282.85109245078,72.0,26.0,46.0,8,5.268
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,13,18,-0.4247983205400383,-57515.84688878135,46.0,12.0,34.0,5,3.049
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,17,21,-0.42537181161735926,-57743.21695986947,52.0,20.0,32.0,6,5.965
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,19,19,-0.4865953498579149,-57570.02203596987,50.0,16.0,34.0,5,3.024
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,2,27,-0.4257913335137607,-57985.04107686517,64.0,24.0,40.0,8,6.18
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,23,21,-0.43105710564522,-57679.86223419453,50.0,14.0,36.0,8,5.924
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,29,15,-0.41215247594465415,-56993.711979512016,38.0,12.0,26.0,7,5.548
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,3,29,-0.4427465777736241,-57953.276288255016,74.0,36.0,38.0,6,7.283
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,5,25,-0.3830192987125719,-57751.34183345336,66.0,34.0,32.0,7,5.338
PGESwithStages,res/alarm,alarm.xbif50001246_,8,5,7,20,-0.40364700497959277,-57556.844698325505,52.0,18.0,34.0,6,4.054
GES_BNBuilder,res/alarm,alarm.xbif50001_,1,-1,-1,18,-0.286200790719497,-56677.049847758244,48.0,14.0,34.0,1,6.271
PGESwithStages,res/alarm,alarm.xbif50001_,2,10,11,25,-0.47315181910031984,-56624.79021617627,60.0,18.0,42.0,9,5.832
PGESwithStages,res/alarm,alarm.xbif50001_,2,10,13,20,-0.4319780878222413,-56941.5092395271,50.0,14.0,36.0,7,6.393
PGESwithStages,res/alarm,alarm.xbif50001_,2,10,17,24,-0.47145255646041884,-56533.731697861556,56.0,14.0,42.0,9,5.863
PGESwithStages,res/alarm,alarm.xbif50001_,2,10,19,17,-0.37653141981882865,-56458.386296962046,44.0,10.0,34.0,8,6.501
PGESwithStages,res/alarm,alarm.xbif50001_,2,10,2,22,-0.4132116659503165,-56859.6331135879,56.0,18.0,38.0,10,6.103
PGESwithStages,res/alarm,alarm.xbif50001_,2,10,23,17,-0.42875332735538985,-56515.04482310417,44.0,10.0,34.0,7,4.679
