algorithm,network,bbdd,threads,pges_threads,interleaving,seed,SHD,loglike,bdeu,deltaMM,deltaMM+,deltaMM-,iterations,time(s)
pges-jc,alarm,alarm.xbif50003_,2,2,10,-1,13,-0.43322894870621226,-53705.957447537075,32.0,12.0,20.0,6,1.973
pges-jc,alarm,alarm.xbif50003_,2,2,15,-1,15,-0.3855152235765752,-53709.59421358497,38.0,16.0,22.0,5,1.913
pges-jc,alarm,alarm.xbif50003_,2,2,5,-1,12,-0.43678115000279355,-53648.482637845074,30.0,10.0,20.0,8,2.302
pges-jc,alarm,alarm.xbif50003_,4,4,10,-1,17,-0.432130341430028,-54198.507441898306,44.0,10.0,34.0,4,1.296
pges-jc,alarm,alarm.xbif50003_,4,4,15,-1,10,-0.37656205496307543,-53633.01198065249,22.0,6.0,16.0,5,1.289
pges-jc,alarm,alarm.xbif50003_,4,4,5,-1,12,-0.4312285937003987,-53663.10442996669,30.0,10.0,20.0,7,1.388
pges-jc,alarm,alarm.xbif50003_,8,8,10,-1,12,-0.42165180941245683,-53674.91057316174,30.0,10.0,20.0,5,1.017
pges-jc,alarm,alarm.xbif50003_,8,8,15,-1,7,-0.3951132826639053,-53511.996881658764,14.0,0.0,14.0,4,0.955
pges-jc,alarm,alarm.xbif50003_,8,8,5,-1,13,-0.4312449100204833,-53671.654852079235,32.0,10.0,22.0,6,1.136
pges-jc,alarm,alarm.xbif50004_,16,16,10,-1,16,-0.37538572337673065,-54204.36614395959,32.0,16.0,16.0,5,1.238
pges-jc,alarm,alarm.xbif50004_,16,16,15,-1,19,-0.3682066110600202,-54299.162020894866,44.0,26.0,18.0,4,1.159
pges-jc,alarm,alarm.xbif50004_,16,16,5,-1,14,-0.4368408570271951,-54222.848808319744,32.0,14.0,18.0,6,1.246
pges-jc,alarm,alarm.xbif50004_,2,2,10,-1,18,-0.4365181083556711,-53951.24507483581,36.0,16.0,20.0,9,2.358
pges-jc,alarm,alarm.xbif50004_,2,2,15,-1,10,-0.3798159832411367,-53965.71870893947,24.0,8.0,16.0,5,2.022
pges-jc,alarm,alarm.xbif50004_,2,2,5,-1,13,-0.43361443583598064,-54088.8066654135,36.0,18.0,18.0,8,2.238
