iterations,time(s),score
978,0.002,-54073.856358411445
979,0.001,-54073.856358411445
980,0.002,-54073.856358411445
981,0.001,-54073.856358411445
982,0.002,-54073.856358411445
983,0.001,-54073.856358411445
984,0.002,-54073.856358411445
985,0.001,-54073.856358411445
986,0.002,-54073.856358411445
987,0.001,-54073.856358411445
988,0.002,-54073.856358411445
989,0.001,-54073.856358411445
990,0.002,-54073.856358411445
991,0.001,-54073.856358411445
992,0.002,-54073.856358411445
993,0.001,-54073.856358411445
994,0.002,-54073.856358411445
995,0.001,-54073.856358411445
996,0.002,-54073.856358411445
997,0.001,-54073.856358411445
998,0.002,-54073.856358411445
999,0.001,-54073.856358411445
