algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
fges,alarm,alarm.xbif_,16,0,0,-1,10,-0.28190824997835057,-54074.96493375084,22.0,6.0,16.0,1,2.13
fges,alarm,alarm.xbif_,1,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,3.063
fges,alarm,alarm.xbif_,2,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,1.686
fges,alarm,alarm.xbif_,4,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,2.59
fges,alarm,alarm.xbif_,8,0,0,-1,10,0.0,-54074.964933750845,22.0,6.0,16.0,1,1.382
fges-faithfulness,alarm,alarm.xbif50001246_,16,0,0,-1,7,-0.28143777349946686,-54069.67391102063,14.0,0.0,14.0,1,1.239
fges-faithfulness,alarm,alarm.xbif50001246_,1,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,2.407
fges-faithfulness,alarm,alarm.xbif50001246_,2,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.742
fges-faithfulness,alarm,alarm.xbif50001246_,4,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.319
fges-faithfulness,alarm,alarm.xbif50001246_,8,0,0,-1,7,0.0,-54069.67391102064,14.0,0.0,14.0,1,1.157
fges-faithfulness,alarm,alarm.xbif50001_,16,0,0,-1,7,-0.2814405426843483,-53530.06203593083,14.0,0.0,14.0,1,1.734
fges-faithfulness,alarm,alarm.xbif50001_,1,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,4.967
fges-faithfulness,alarm,alarm.xbif50001_,2,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,2.259
fges-faithfulness,alarm,alarm.xbif50001_,4,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,3.065
fges-faithfulness,alarm,alarm.xbif50001_,8,0,0,-1,7,0.0,-53530.06203593084,14.0,0.0,14.0,1,1.719
fges-faithfulness,alarm,alarm.xbif50002_,16,0,0,-1,8,-0.28181102538665115,-53755.87016052618,16.0,2.0,14.0,1,1.766
fges-faithfulness,alarm,alarm.xbif50002_,1,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,3.303
fges-faithfulness,alarm,alarm.xbif50002_,2,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,2.202
fges-faithfulness,alarm,alarm.xbif50002_,4,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,1.864
fges-faithfulness,alarm,alarm.xbif50002_,8,0,0,-1,8,0.0,-53755.87016052618,16.0,2.0,14.0,1,1.626
fges-faithfulness,alarm,alarm.xbif50003_,16,0,0,-1,7,-0.28135323001253204,-53485.568946342086,14.0,0.0,14.0,1,1.335
fges-faithfulness,alarm,alarm.xbif50003_,1,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,2.544
fges-faithfulness,alarm,alarm.xbif50003_,2,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,1.8
fges-faithfulness,alarm,alarm.xbif50003_,4,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,1.517
fges-faithfulness,alarm,alarm.xbif50003_,8,0,0,-1,7,0.0,-53485.56894634209,14.0,0.0,14.0,1,1.334
fges-faithfulness,alarm,alarm.xbif50004_,16,0,0,-1,7,-0.28135323001253204,-53778.53221336127,14.0,0.0,14.0,1,1.151
fges-faithfulness,alarm,alarm.xbif50004_,1,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,2.305
fges-faithfulness,alarm,alarm.xbif50004_,2,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,1.342
fges-faithfulness,alarm,alarm.xbif50004_,4,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,1.203
fges-faithfulness,alarm,alarm.xbif50004_,8,0,0,-1,7,0.0,-53778.53221336127,14.0,0.0,14.0,1,1.134
fges-faithfulness,alarm,alarm.xbif50005_,16,0,0,-1,10,-0.2814534709826712,-54619.87018166659,24.0,8.0,16.0,1,1.377
fges-faithfulness,alarm,alarm.xbif50005_,1,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,2.494
fges-faithfulness,alarm,alarm.xbif50005_,2,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,1.646
fges-faithfulness,alarm,alarm.xbif50005_,4,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,1.476
fges-faithfulness,alarm,alarm.xbif50005_,8,0,0,-1,10,0.0,-54619.87018166658,24.0,8.0,16.0,1,1.482
fges-faithfulness,alarm,alarm.xbif50006_,16,0,0,-1,9,-0.2818495650411003,-53810.652846366866,18.0,2.0,16.0,1,1.43
fges-faithfulness,alarm,alarm.xbif50006_,1,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,2.56
fges-faithfulness,alarm,alarm.xbif50006_,2,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,1.684
fges-faithfulness,alarm,alarm.xbif50006_,4,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,1.523
fges-faithfulness,alarm,alarm.xbif50006_,8,0,0,-1,9,0.0,-53810.65284636687,18.0,2.0,16.0,1,1.51
fges-faithfulness,alarm,alarm.xbif50007_,16,0,0,-1,7,-0.28135323001253204,-53649.907108127976,14.0,0.0,14.0,1,1.364
fges-faithfulness,alarm,alarm.xbif50007_,1,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,2.422
fges-faithfulness,alarm,alarm.xbif50007_,2,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,1.501
fges-faithfulness,alarm,alarm.xbif50007_,4,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,1.389
fges-faithfulness,alarm,alarm.xbif50007_,8,0,0,-1,7,0.0,-53649.907108128,14.0,0.0,14.0,1,1.315
fges-faithfulness,alarm,alarm.xbif50008_,16,0,0,-1,7,-0.28143777349946686,-54211.83652719082,14.0,0.0,14.0,1,1.131
fges-faithfulness,alarm,alarm.xbif50008_,1,0,0,-1,7,0.0,-54211.83652719084,14.0,0.0,14.0,1,2.024
fges-faithfulness,alarm,alarm.xbif50008_,2,0,0,-1,7,0.0,-54211.83652719084,14.0,0.0,14.0,1,1.423
fges-faithfulness,alarm,alarm.xbif50008_,4,0,0,-1,7,0.0,-54211.83652719084,14.0,0.0,14.0,1,1.336
fges-faithfulness,alarm,alarm.xbif50008_,8,0,0,-1,7,0.0,-54211.83652719084,14.0,0.0,14.0,1,1.14
fges-faithfulness,alarm,alarm.xbif50009_,16,0,0,-1,8,-0.28181102538665115,-54374.11719194645,16.0,2.0,14.0,1,1.198
fges-faithfulness,alarm,alarm.xbif50009_,1,0,0,-1,8,0.0,-54374.11719194643,16.0,2.0,14.0,1,2.042
