algorithm,network,bbdd,threads,threadsPGES,interleaving,seed,SHD,LL Score,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s)
fges,alarm,alarm.xbif_,2,0,0,-1,10,0.0,-56631.335924696374,22.0,6.0,16.0,1,1.403
fges,alarm,alarm.xbif_,4,0,0,-1,10,0.0,-56631.335924696374,22.0,6.0,16.0,1,2.614
fges,alarm,alarm.xbif_,8,0,0,-1,10,0.0,-56631.335924696374,22.0,6.0,16.0,1,1.286
ges,alarm,alarm.xbif50001246_,16,0,0,-1,14,0.0,-56981.00464037407,34.0,6.0,28.0,1,0.998
ges,alarm,alarm.xbif50001246_,1,0,0,-1,14,0.0,-56981.00464037407,34.0,6.0,28.0,1,1.883
ges,alarm,alarm.xbif50001246_,2,0,0,-1,14,0.0,-56981.00464037407,34.0,6.0,28.0,1,0.968
ges,alarm,alarm.xbif50001246_,4,0,0,-1,14,0.0,-56981.00464037407,34.0,6.0,28.0,1,0.973
ges,alarm,alarm.xbif50001246_,8,0,0,-1,14,0.0,-56981.00464037407,34.0,6.0,28.0,1,1.299
ges,alarm,alarm.xbif50001_,16,0,0,-1,16,0.0,-56378.80405675926,42.0,10.0,32.0,1,1.287
ges,alarm,alarm.xbif50001_,1,0,0,-1,16,0.0,-56378.80405675926,42.0,10.0,32.0,1,1.437
ges,alarm,alarm.xbif50001_,2,0,0,-1,16,0.0,-56378.80405675926,42.0,10.0,32.0,1,2.603
ges,alarm,alarm.xbif50001_,4,0,0,-1,16,0.0,-56378.80405675926,42.0,10.0,32.0,1,2.427
ges,alarm,alarm.xbif50001_,8,0,0,-1,16,0.0,-56378.80405675926,42.0,10.0,32.0,1,1.101
ges,alarm,alarm.xbif50002_,16,0,0,-1,15,0.0,-56536.93588247616,36.0,6.0,30.0,1,0.983
ges,alarm,alarm.xbif50002_,1,0,0,-1,15,0.0,-56536.93588247616,36.0,6.0,30.0,1,1.08
ges,alarm,alarm.xbif50002_,2,0,0,-1,15,0.0,-56536.93588247616,36.0,6.0,30.0,1,2.357
ges,alarm,alarm.xbif50002_,4,0,0,-1,15,0.0,-56536.93588247616,36.0,6.0,30.0,1,2.769
ges,alarm,alarm.xbif50002_,8,0,0,-1,15,0.0,-56536.93588247616,36.0,6.0,30.0,1,1.055
ges,alarm,alarm.xbif50003_,16,0,0,-1,16,0.0,-56337.229138588074,36.0,4.0,32.0,1,1.007
