,SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving
56,11,-529529.496733924,0.4864864864864865,6.0,12.0,10.0,2,alarm,pfhcbes,50,2,5
57,50,-112133.19003160062,2.6486486486486487,64.0,34.0,7.0,1,alarm,pfhcbes,10,4,10
58,27,-110413.74010278992,1.5135135135135136,24.0,32.0,6.0,1,alarm,pfhcbes,10,6,15
59,29,-111163.27255526972,1.4054054054054057,20.0,32.0,7.0,0,alarm,pfhcbes,10,2,15
60,28,-111928.73384921456,1.6756756756756757,26.0,36.0,7.0,2,alarm,pfhcbes,10,8,15
61,33,-533251.6736817472,1.8378378378378382,46.0,22.0,7.0,2,alarm,pfhcbes,50,8,5
62,18,-529112.9283694624,1.135135135135135,26.0,16.0,7.0,1,alarm,pfhcbes,50,6,5
63,31,-112005.32486737179,1.5135135135135136,24.0,32.0,5.0,1,alarm,pfhcbes,10,6,10
64,36,-111191.42275453074,1.6216216216216215,28.0,32.0,6.0,0,alarm,pfhcbes,10,4,15
65,31,-111321.70868863988,1.8378378378378382,36.0,32.0,4.0,0,alarm,pfhcbes,10,8,10
66,49,-534660.9440295093,2.054054054054054,52.0,24.0,8.0,1,alarm,pfhcbes,50,4,5
67,32,-111463.50524771576,1.7837837837837838,34.0,32.0,7.0,2,alarm,pfhcbes,10,2,10
68,11,-109670.73375117636,0.7567567567567568,2.0,26.0,10.0,0,alarm,pfhcbes,10,2,5
69,21,-531773.3333035117,1.2972972972972974,26.0,22.0,6.0,1,alarm,pfhcbes,50,4,10
70,20,-530129.6086007756,1.4054054054054057,28.0,24.0,8.0,2,alarm,pfhcbes,50,6,15
71,25,-532058.1126997612,1.4054054054054057,32.0,20.0,8.0,1,alarm,pfhcbes,50,2,15
72,36,-532163.5799656023,1.8378378378378382,48.0,20.0,8.0,3,alarm,pfhcbes,50,8,15
73,40,-112412.22682122572,2.108108108108108,38.0,40.0,6.0,0,alarm,pfhcbes,10,8,5
74,40,-533852.4965509564,2.27027027027027,54.0,30.0,5.0,1,alarm,pfhcbes,50,6,10
75,26,-528988.3786392037,0.7567567567567568,14.0,14.0,6.0,2,alarm,pfhcbes,50,4,15
76,29,-111384.30332599294,1.7837837837837838,30.0,36.0,5.0,0,alarm,pfhcbes,10,6,5
77,36,-530800.1604579124,1.5675675675675675,40.0,18.0,5.0,1,alarm,pfhcbes,50,8,10
78,13,-529554.221462226,0.6486486486486487,14.0,10.0,7.0,2,alarm,pfhcbes,50,2,10
79,41,-111528.03429796119,1.945945945945946,38.0,34.0,7.0,0,alarm,pfhcbes,10,4,5
