SHD,BDeu Score,dfMM,dfMM plus,dfMM minus,Total iterations,Total time(s),Network,Algorithm,Data Size (k),Threads,Interleaving,SHD_delta,BDeu Score_delta,dfMM_delta,dfMM plus_delta,dfMM minus_delta,Total time(s)_delta
16,-529359.5462588214,0.5945945945945946,6.0,16.0,16.0,5,alarm,pges,50,4,10,8.0,264.80880761204753,0.21621621621621623,0.0,8.0,2.0
20,-534068.1089436772,1.0810810810810811,30.0,10.0,5.0,3,alarm,pges,50,6,15,12.0,-4443.753877243726,0.7027027027027027,24.0,2.0,0.0
17,-531899.3526709722,1.351351351351351,26.0,24.0,12.0,3,alarm,pges,50,2,15,9.0,-2274.997604538803,0.9729729729729727,20.0,16.0,0.0
28,-533213.245649162,2.0,52.0,22.0,5.0,3,alarm,pges,50,8,15,20.0,-3588.890582728549,1.6216216216216215,46.0,14.0,0.0
21,-111218.05102317307,1.2432432432432432,12.0,34.0,5.0,1,alarm,pges,10,8,5,5.0,-725.8061743796716,0.21621621621621623,0.0,8.0,0.0
15,-529331.9848828862,0.5945945945945946,6.0,16.0,9.0,9,alarm,pges,50,6,10,7.0,292.37018354726024,0.21621621621621623,0.0,8.0,6.0
26,-531703.1643196275,1.6756756756756757,42.0,20.0,14.0,16,alarm,pges,50,4,15,18.0,-2078.80925319402,1.2972972972972974,36.0,12.0,13.0
20,-110559.61542755975,1.2432432432432432,14.0,32.0,7.0,1,alarm,pges,10,6,5,4.0,-67.37057876634935,0.21621621621621623,2.0,6.0,0.0
11,-531932.6763155095,0.6486486486486487,12.0,12.0,6.0,2,alarm,pges,50,8,10,3.0,-2308.321249076049,0.2702702702702703,6.0,4.0,-1.0
8,-529601.1090797797,0.5405405405405406,10.0,10.0,7.0,2,alarm,pges,50,2,10,0.0,23.245986653724685,0.16216216216216217,4.0,2.0,-1.0
32,-111661.19615872932,1.7297297297297298,24.0,40.0,8.0,0,alarm,pges,10,4,5,16.0,-1168.9513099359174,0.7027027027027029,12.0,14.0,-1.0
